"Family","Species","Latitude","Longitude","Location","Source"
"Pteropodidae","Cynopterus sphinx","23.3",91.416667,"Abhoya, Tripura, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","23.5",91.5,"Agartala, Tripura, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","29.76",79.76,"Almora, Uttarakhand, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","25.289498",90.981786,"Amarsang, Meghalaya","Saikia et al 2018"
"Pteropodidae","Cynopterus sphinx","23.93",91.85,"Ambassa, Tripura, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","6.87",80.81,"Ambawela, Central Province, Sri Lanka","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","23.12",83.2,"Ambikapur, Chattisgarh, India","Khajuria, 1984"
"Pteropodidae","Cynopterus sphinx","23.65",91.62,"Ampi, Tripura, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","22.57",72.93,"Anand, Gujarat, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","8.34",80.38,"Anuradhapura, North Central Province, Sri Lanka","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","22.25",88.86,"Baghmara, Meghalaya, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","21.8",80.17,"Balaghat, Jabalpur, Madhya Pradesh","Molur et al. 2002"
"Pteropodidae","Cynopterus sphinx","19.05",79.49,"Balapalli, Andhra Pradesh, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","21.49",86.93,"Baleshwar, Orissa, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","19.06",72.83,"Bandra, Maharashtra, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","12.966667",77.566667,"Bangalore, Bangalore district, Karnataka","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","23.25",87.07,"Bankura, West Bengal, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","23.55",74.45,"Banswara, Rajasthan, India","Advani, 1982b"
"Pteropodidae","Cynopterus sphinx","27.55",86.1,"Barabisse, Nepal","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","23.23",87.86,"Barddhaman, West Bengal, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","26.416667",84.25,"Barkagaon Bihar, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","19.21",81.93,"Bastar, Chhattisgarh, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","15.85",74.5,"Belgaum,Karnataka, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","27.01",92.64,"Bhalukpong, Arunachal Pradesh,  India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","17.88",83.43,"Bimlipatam, Andhra Pradesh, India","Khajuria, 1953"
"Pteropodidae","Cynopterus sphinx","24",87.58,"Birbhum, West Bengal, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","7.13",80.4,"Bogala, Sabaragamuwa Province, Sri Lanka","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","20.71",83.48,"Bolangir, Orissa, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","18.97",72.82,"Bombay City, Maharashtra","AMNH"
"Pteropodidae","Cynopterus sphinx","21.83",84.95,"Bonaigarh, Orissa, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","6.68",80.16,"Bulathsinhala, Western Province, Sri Lanka","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","25.5",75.83,"Bundi, Rajasthan, India","Bates & Harrison 1997"
"Pteropodidae","Cynopterus sphinx","22.56",88.36,"Calcutta, West Bengal","AMNH"
