"Family","Species","Latitude","Longitude","Location","Source"
"Pteropodidae","Eonycteris spelaea","18.145",82.968,"Borra Guhalu, Vishakhapatnam District , Andhra Pradesh, India","Ghosh, 2005"
"Pteropodidae","Eonycteris spelaea","25.3",91.7,"Cherrapunji, Meghalaya, India","Bates & Harrison 1997"
"Pteropodidae","Eonycteris spelaea","11.5",92.7,"Chidia tapu, Andaman Islands , Andaman & Nicobar Islands, India","Bhattacharyya, 1975"
"Pteropodidae","Eonycteris spelaea","14.036151",74.634693,"Chandranatha basadi, Bhatkal, Karnataka","Srinivasulu pers obs"
"Pteropodidae","Eonycteris spelaea","13.26",92.98,"Diglipur, South Andaman, Andaman Islands, India","Ghosh, 2005"
"Pteropodidae","Eonycteris spelaea","27.73",88.63,"Hee Gyathang, Sikkim, India","Mistry, 1991"
"Pteropodidae","Eonycteris spelaea","24.8",93.12,"Jiribam, Manipur, India","Sinha, 1994a"
"Pteropodidae","Eonycteris spelaea","14.19",74.78,"Jog, N Kanara, Karnataka, India","Ghosh, 2009"
"Pteropodidae","Eonycteris spelaea","8.65",77.37,"Kalakkad-Mundanthurai Tiger Reserve, Tamil Nadu, India","Molur et al. 2002"
"Pteropodidae","Eonycteris spelaea","26.426",91.095,"Kherkheria, Assam, India","Ghose and Bhattacharyya, 1974"
"Pteropodidae","Eonycteris spelaea","27.586",88.483,"KMTR-Ingikuzhi, Sikkim, India","Mistry, 1991"
"Pteropodidae","Eonycteris spelaea","25.975",91.827,"Lailad, Meghalaya, India","Bates & Harrison 1997"
"Pteropodidae","Eonycteris spelaea","17.907",82.179,"Lankapakalu, Vishakhapatnam District , Andhra Pradesh, India","Ghosh, 2005"
"Pteropodidae","Eonycteris spelaea","22.909",92.752,"Lunglei, Mzioram","Ghosh, 2012"
"Pteropodidae","Eonycteris spelaea","22.885",92.586,"Lungsen, Mizoram, India","Ghosh, 2011"
"Pteropodidae","Eonycteris spelaea","12.931",92.895,"Maya Bandar, N Andaman, Andaman & Nicobar Isls, India","Ghosh, 2005"
"Pteropodidae","Eonycteris spelaea","25.710556",94.906389,"Mimi village, Kiphire district, Nagaland","Mani et al 2017"
"Pteropodidae","Eonycteris spelaea","14.437",74.46,"Muroor, Karnataka, India","Bhat et al., 1980"
"Pteropodidae","Eonycteris spelaea","29.38",79.45,"Naini Tal , Uttarakahnd, India","Bhat, 1968a, 1974"
