"Family","Species","Latitude","Longitude","Location","Source"
"Vespertilionidae","Hesperoptenus tickelli","7.85",81.116667,"Alakanagoda, North Central Province, Sri Lanka","Phillips, 1932biv"
"Vespertilionidae","Hesperoptenus tickelli","6.483333",80.5,"Anasigala, Western Province, Sri Lanka","Molur et al. 2002"
"Vespertilionidae","Hesperoptenus tickelli","8.34",80.38,"Anuradhapura, North Central Province, Sri Lanka","Wroughton, 1915ci"
"Vespertilionidae","Hesperoptenus tickelli","15.433333",74.5,"Astoli, Karnataka, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","6.42",80,"Bentota, Southern Province, Sri Lanka","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","26.833333",89.333333,"Bharnabari, West Bengal, India","Wroughton, 1917a"
"Vespertilionidae","Hesperoptenus tickelli","26.75",89.75,"Bhutan Duars, Bhutan","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","7.15",81.22,"Bibile, Uva Province, Sri Lanka","Phillips, 1933aii"
"Vespertilionidae","Hesperoptenus tickelli","19.68",72.85,"Chahade, Maharashtra, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","22.7",85.816667,"Chaibassa, Bihar, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","8.66",80.3,"Cheddikulam, Northern Province, Sri Lanka","Phillips, 1936i"
"Vespertilionidae","Hesperoptenus tickelli","13.06",80.24,"Chennai, Tamil Nadu, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","27.99",82.3,"Dang-Deokhuri, Nepal","Mitchell, 1980"
"Vespertilionidae","Hesperoptenus tickelli","6.83",79.87,"Dehiwala, Western Province, Sri Lanka","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","23.7",90.4,"Dhaka, Bangladesh","Srinivasulu, C."
"Vespertilionidae","Hesperoptenus tickelli","15.46",75.01,"Dharwad, Karnataka, India","Brosset, 1962c"
"Vespertilionidae","Hesperoptenus tickelli","13.26",92.98,"Diglipur, South Andaman, Andaman Islands, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","26.75",89.35,"Hasimara, West Bengal, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","14.61",74.82,"Hulekad-sirsi, Karnataka, India","Wroughton, 1913i"
"Vespertilionidae","Hesperoptenus tickelli","22.88",84.14,"Jashpur, Madhya Pradesh, India","Dobson, 1878"
"Vespertilionidae","Hesperoptenus tickelli","6.57",79.96,"Kalutara, Western Province, Sri Lanka","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","7.28",80.63,"Kandy, Central Province, Sri Lanka","Phillips, 1980"
"Vespertilionidae","Hesperoptenus tickelli","19.35",83.11,"Kasipur, Orissa, India","Das and Agrawal, 1973"
"Vespertilionidae","Hesperoptenus tickelli","21.9",85.24,"Koira, Orissa, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","7.11",80.85,"Kumbalgamuwa, Central Province, Sri Lanka","Phillips, 1932aii"
"Vespertilionidae","Hesperoptenus tickelli","12.419",92.919,"Long Island, Middle Andaman, Andeman Islands, India","Hill, 1967"
"Vespertilionidae","Hesperoptenus tickelli","6.616",80.65,"Madola, Sabaragamuwa Province, Sri Lanka","Phillips, 1933bi"
"Vespertilionidae","Hesperoptenus tickelli","15.38",74.17,"Mollem, Goa, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","18.97",72.82,"Mumbai, Maharashtra, India","Bates & Harrison 1997"
"Vespertilionidae","Hesperoptenus tickelli","26.3",74.733,"Nusserabad, Rajasthan, India","Blanford, 1888-91"
"Vespertilionidae","Hesperoptenus tickelli","6.93",81.15,"Passara, Uva Province, Sri Lanka","Phillips, 1980"
"Vespertilionidae","Hesperoptenus tickelli","7.25",80.66,"Peradeniya, Central Province, Sri Lanka","Bates & Harrison 1997"
