"Family","Species","Latitude","Longitude","Location","Source"
"Hipposideridae","Hipposideros armiger","28.214",83.688,"Alpeshore cave, Kushma-Parbat district, Nepal","Sharma et al 2020"
"Hipposideridae","Hipposideros armiger","28.016667",84.616667,"Bachek, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","29.83",79.77,"Bageswar, Uttarakhand, India","Wroughton, 1914"
"Hipposideridae","Hipposideros armiger","28.266388",83.97,"Batule Chour, Kaski District, Pokhara, Nepal","GBIF 2022"
"Hipposideridae","Hipposideros armiger","27.95",84.42,"Bimalnagar, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","27.7",85.216667,"Bouzini, Nepal","Hinton and Fry, 1923"
"Hipposideridae","Hipposideros armiger","27.9175",83.47111,"Chamere Dhulo Kharbare or Arbhu Guf, Argali VDC, Nepal","Adhikari 2010"
"Hipposideridae","Hipposideros armiger","25.3",91.7,"Cherrapunji, Meghalaya, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","27.666667",85.283333,"Chobar, Khatmandu, Nepal","Adhikari 2010"
"Hipposideridae","Hipposideros armiger","25.46",91.36,"Durabanda, Garo Hills, Meghalaya, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","27.605",85.517,"Gari, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","27.81611",83.96972,"Ghising Odar (Cave), Sahalkot V.D.C, Nepal","Adhikari 2010"
"Hipposideridae","Hipposideros armiger","27.62",85.34,"Godavari, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","26.98",88.85,"Goomti, West Bengal, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","26.983333",88.283333,"Gopaldhara, Darjeeling, West Bengal, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","28.227",83.674,"Gupteshore cave, Kushma-Parbat district, Nepal","Sharma et al 2020"
"Hipposideridae","Hipposideros armiger","27.64",85.33,"Hattiban, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","27.73",88.63,"Hee Gyanthang, Sikkim, India","Molur et al. 2002"
"Hipposideridae","Hipposideros armiger","27.866667",88.133333,"Jongsong, Sikkim, India","Ghosh 2008"
"Hipposideridae","Hipposideros armiger","33.44",74.26,"Katarmal, Uttar Pradesh, India","Bhat, 1974"
"Hipposideridae","Hipposideros armiger","27.666",85.35,"Kathmandu Valley, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","25.58",91.63,"Khasi hills, Meghalaya, India","Molur et al. 2002"
"Hipposideridae","Hipposideros armiger","25.57",91.3,"Konshnong, Meghalaya, India","Hinton and Lindsay, 1926"
"Hipposideridae","Hipposideros armiger","25.225",91.669,"Laitkynsew, Meghalaya, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","28.227",83.704,"Laleshore cave, Chuwa-Parbat district, Nepal","Sharma et al 2020"
"Hipposideridae","Hipposideros armiger","27.05",88.366667,"Lopchu, Darjeeling, West Bengal, India","Topal, 1975"
"Hipposideridae","Hipposideros armiger","27.399",87.853,"Mahanandi Wildlife Sanctuary, West Bengal, India","Agrawal et al., 1992"
"Hipposideridae","Hipposideros armiger","25.710556",94.906389,"Mimi village, Kiphire district, Nagaland","Mani et al 2017"
"Hipposideridae","Hipposideros armiger","30.45",78.08,"Mussoorie, Uttar Pradesh, India","Jerdon, 1874"
"Hipposideridae","Hipposideros armiger","30.066",79.019,"Nakuri, Uttar Kashi, Uttarakhand, India","Ghosh 2008"
"Hipposideridae","Hipposideros armiger","28.368",83.293,"near Baglung, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","28.263",83.972,"near Pokhara, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","26.97",88.56,"Nimbong, West Bengal, India","Wroughton, 1917b"
"Hipposideridae","Hipposideros armiger","27.55",87.28,"Num, Sankhuwasabha, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","27.06",88.4,"Pashok, West Bengal, India","Wroughton, 1916ciii"
"Hipposideridae","Hipposideros armiger","28.253",83.643,"Parbati cave, Pang-Parbat district","Sharma et al 2020"
"Hipposideridae","Hipposideros armiger","27.8",85.25,"Pattibhagan, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","26.19",92.94,"Rajapara, Assam, India","Hinton and Lindsay, 1926"
"Hipposideridae","Hipposideros armiger","27.195",88.611,"Rongli, Sikkim, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","25.79389",94.89389,"Salomi village, Kiphire district, Nagaland","Mani et al 2017"
"Hipposideridae","Hipposideros armiger","25.48",92.34,"Shangpung, Meghalaya, India","Kurup, 1968"
"Hipposideridae","Hipposideros armiger","27.905",83.63166,"Shree Siddha Cave, Ramdi Area, Nepal","Adhikari 2010"
"Hipposideridae","Hipposideros armiger","25.567",91.883,"Shillong, Meghalaya, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","26.857",85.738,"Siripur, Nepal","Ghosh 2008"
"Hipposideridae","Hipposideros armiger","27.752",85.419,"Sundarijal, Nepal","Ghosh 2008"
"Hipposideridae","Hipposideros armiger","28.107",83.878,"Syangja, Nepal","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","24.987",93.495,"Tamenglong, Manipur, India","Molur et al. 2002"
"Hipposideridae","Hipposideros armiger","27.059",88.154,"Tong Song, West Bengal, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros armiger","25.248956",91.588773,"Lawbah, Meghalaya","Saikia et al 2018"
"Hipposideridae","Hipposideros armiger","25.21329",91.750729,"Sohbar, Meghalaya","Saikia et al 2018"
"Hipposideridae","Hipposideros armiger","25.173386",91.652208,"Shella, Meghalaya","Saikia 2018"
"Hipposideridae","Hipposideros armiger","25.49",90.24,"Siju Cave, West Garo Hills, Meghalaya","Saikia 2018"
"Hipposideridae","Hipposideros armiger","25.172856",92.446951,"Khaddum caves, Meghalaya","Saikia 2018"
"Hipposideridae","Hipposideros armiger","25.4313",92.6016,"Krem Labit Kseh, Jaintia Hills, Meghalaya","Saikia et al 2018"
"Hipposideridae","Hipposideros armiger","25.324533",92.647081,"Vatesuandung, Saipung, Meghalaya","Saikia 2018"
"Hipposideridae","Hipposideros armiger","25.493363",91.756532,"Krem Pedenglapiang, Meghalaya","Saikia 2018"
"Hipposideridae","Hipposideros armiger","25.1025",92.265,"Krem Piel Klieng Pouk, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros armiger","30.937884",77.106811,"Mt Karo, Himachal Pradesh","Saikia 2018"
"Hipposideridae","Hipposideros armiger","28.193232",83.948106,"Pokhara, 1 mile south on Indian Road, Nepal","GBIF 2022"
"Hipposideridae","Hipposideros armiger","28.272655",83.978959,"Mahendra Gupha, 7 mi N of Pokhara, Nepal","GBIF 2022"
"Hipposideridae","Hipposideros armiger","30.383118",78.066108,"Doon View Cave, 2 km. South of Mussoorie, 27 km from Dehra Dun","GBIF 2022"
"Hipposideridae","Hipposideros armiger","28.267817",83.9758,"Kaarr Jungle Cave, about 7 miles N. of Pokhara Airport (Chamere Gupha)","GBIF 2022"
"Hipposideridae","Hipposideros armiger","27.193566",86.622312,"Halesi Cave, Khotang, Nepal","Thapa 2012"
"Hipposideridae","Hipposideros armiger","27.715",85.522,"Nagarkot, Nepal","Thapa et al 2012"
"Hipposideridae","Hipposideros armiger","30.454",78.1,"Woodstock dorms, Uttarakhand","Chakravarthy (2015)"
"Hipposideridae","Hipposideros armiger","28.742",79.174,"Maldevta, Tehri garhwal, Uttarakhand","Chakravarthy (2015)"
"Hipposideridae","Hipposideros armiger","30.053",79.286,"Gairsain, Chamoli, Uttarakhand","Chakravarthy (2015)"
"Hipposideridae","Hipposideros armiger","29.599",79.649,"Almora, Uttarakhand","Chakravarthy (2015)"
"Hipposideridae","Hipposideros armiger","27.742",85.252,"Balaju forest reserve, Kathmandu, Nepal","Csorba et al 1999"
"Hipposideridae","Hipposideros armiger","28.1336",83.7336,"4KM E of Syangja, Syangja district, Nepal","Csorba et al 1999"
"Hipposideridae","Hipposideros armiger","28.1169",83.800278,"Saldana, Syangja district, Nepal","Csorba et al 1999"
"Hipposideridae","Hipposideros armiger","27.750278",85.4169,"Shivapuri Nagarjun National Park and Buffer Zone, Nepal","Thapa et al 2021"
"Hipposideridae","Hipposideros armiger","27.549999",87.283333,"Near Suki Patyl Forest, Sankhuwasabha district, eastern Nepal","Acharya & Adhikari 2010"
