"Family","Species","Latitude","Longitude","Location","Source"
"Hipposideridae","Hipposideros ater","6.483333",80.5,"Anasigalla, Western Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","8.34",80.38,"Anuradhapura, North Central Province, Sri Lanka","Wroughton, 1915ci"
"Hipposideridae","Hipposideros ater","13.06",80.24,"Chennai, Tamil Nadu, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","8.68",77.56,"Cheranmahadevi, Tamil Nadu, India","Molur et al. 2002"
"Hipposideridae","Hipposideros ater","6.93",79.84,"Colombo, Western Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","9.73",77.3,"Cumbum, Tamil Nadu, India","Wroughton, 1912i"
"Hipposideridae","Hipposideros ater","6.83",79.87,"Dehiwala, Western Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","15.46",75.01,"Dharwad, Karnataka, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","10.01",76.3,"Ernakulam, Kerala, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","23.98",85.35,"Hazaribagh, Jharkhand, India","GBIF 2022"
"Hipposideridae","Hipposideros ater","9.62",78.61,"Ilaiyankudi, Tamil Nadu, India","Molur et al. 2002"
"Hipposideridae","Hipposideros ater","7.25",80.51,"Kadugannava, Kandy, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","6.57",79.96,"Kalutara, Western Province, Sri Lanka","Kelaart, 1852"
"Hipposideridae","Hipposideros ater","7.28",80.63,"Kandy, Central Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","19.89",86.09,"Konark, Puri, Orissa, India","Topal, 1997"
"Hipposideridae","Hipposideros ater","12.89",79.31,"Krishnapuram, Tamil Nadu, India","Molur et al. 2002"
"Hipposideridae","Hipposideros ater","10.66",77.86,"Kurumbapatti, Tamil Nadu, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","16.166667",76.516667,"Lingsugur, Raichur district, Karnataka, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","9.91",78.12,"Madurai, Tamil Nadu, India","Jones et al., 1994"
"Hipposideridae","Hipposideros ater","10.54",76.28,"Mannuthy, Kerala Agriculture Univeristy Campus, Thrissur, Kerala","Srinivasulu, C. & B. Srinivasulu"
"Hipposideridae","Hipposideros ater","19.248",76.776,"Marathwada, Maharashtra, India","Gopalakrishna and Madhavan, 1977"
"Hipposideridae","Hipposideros ater","6.522",80.114,"Matugama, Western Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros ater","7.266667",80.8,"Medamahanuwera, Central Province, Sri Lanka","Bates & Harrison 1997"
