"Family","Species","Latitude","Longitude","Location","Source"
"Hipposideridae","Hipposideros fulvus","27.172",78.041,"Agra, Underground Tunnel in Taj Mahal, Uttar Pradesh, India","AMNH M-174288"
"Hipposideridae","Hipposideros fulvus","20.55",75.7,"Ajantha Caves, Maharashtra, India","Molur et al. 2002"
"Hipposideridae","Hipposideros fulvus","26.45",74.64,"Ajmer, Rajasthan, India","Sinha, 1980"
"Hipposideridae","Hipposideros fulvus","25.45",81.85,"Allahabad, Uttar Pradesh, India","Ghosh 2008"
"Hipposideridae","Hipposideros fulvus","8.34",80.38,"Anuradhapura, North Central Province, Sri Lanka","Molur et al. 2002"
"Hipposideridae","Hipposideros fulvus","19.88",75.31,"Aurangabad caves, Maharashtra, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","19.06",72.83,"Bandra, Maharashtra, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","15.85",74.5,"Belgaum, Karnataka, India","Ghosh 2008"
"Hipposideridae","Hipposideros fulvus","18.74",73.49,"Bhaja, Maharashtra, India","Topal, 1975"
"Hipposideridae","Hipposideros fulvus","27.21",77.48,"Bharatpur, Rajasthan, India","Bhupathy, 1987"
"Hipposideridae","Hipposideros fulvus","19.07",73.53,"Bhimashankar caves, Maharashtra, India","Molur et al. 2002"
"Hipposideridae","Hipposideros fulvus","20.27",85.84,"Bhubaneswar, Orissa, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","23.26",69.66,"Bhuj, Gujarat, India","Wroughton, 1912bii"
"Hipposideridae","Hipposideros fulvus","22.41",72.85,"Bochasan, Gujarat , India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","25.5",75.83,"Bundi, Rajasthan, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","22.7",85.816667,"Chaibassa, Bihar, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","30.28",72.46,"Chaklala, Punjab, Pakistan","Hinton and Thomas, 1926"
"Hipposideridae","Hipposideros fulvus","21.4",77.31,"Chikalda, Maharashtra, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","11.716667",79.766667,"Coromandal, Karnataka, India","Ryley, 1913a"
"Hipposideridae","Hipposideros fulvus","26.14",85.85,"Darbhanga, Bihar, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","15.46",75.01,"dharwad, Karnataka, India","Wroughton, 1912c"
"Hipposideridae","Hipposideros fulvus","18.31",81.91,"Dhauli, Orissa, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","23.83",73.71,"Dungarpur, Rajasthan, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","18.96",72.93,"Elephanta, Maharashtra, India","Ali, 1953"
"Hipposideridae","Hipposideros fulvus","20.02",75.17,"Ellora caves, Maharashtra, India","Molur et al. 2002"
"Hipposideridae","Hipposideros fulvus","10.01",76.3,"Ernakulum, Kerala, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","15.41",75.61,"Gadag, Karnataka, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","24.75",85.01,"Gaya, Bihar, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","24.733333",67.6,"Gharo, Sind, Pakistan","Lindsay, 1926a"
"Hipposideridae","Hipposideros fulvus","24.1",67.8,"Gholam, Sind, Pakistan","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","24.19",86.33,"Giridih, Jharkhand, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","23.1111",79.9231,"Gwarighat, Madhya Pradesh, India","Topal 1975"
"Hipposideridae","Hipposideros fulvus","7.9675",80.91638889,"Giritale, Polonnaruwa District, Sri Lanka","Tharaka pers obs"
"Hipposideridae","Hipposideros fulvus","6.12",81.12,"Hambantota, Southern Province, Sri Lanka","Ryley, 1914bi"
"Hipposideridae","Hipposideros fulvus","13.1593",78.2929,"Hanumanhalli, Kolar district, Karnataka, India","Srinivasulu et al 2014"
"Hipposideridae","Hipposideros fulvus","20.24",84.26,"Harisankar, Orissa, India","Das et al., 1993"
"Hipposideridae","Hipposideros fulvus","23.98",85.35,"Hazaribagh, Jharkhand, India","Sinha, 1986a"
"Hipposideridae","Hipposideros fulvus","29.16",75.71,"Hisar, Haryana, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","14.26",74.41,"Honawar, Karnataka, India","Wroughton, 1913i"
"Hipposideridae","Hipposideros fulvus","26",63.87,"Hoshab, Baluchistan, Pakistan","Roberts, 1977"
"Hipposideridae","Hipposideros fulvus","22.75",77.71,"Hoshangabad, Madhya Pradesh, India","Molur et al. 2002"
"Hipposideridae","Hipposideros fulvus","23.16",79.93,"Jabalpur, Madhya Pradesh, India","Khajuria, 1979"
"Hipposideridae","Hipposideros fulvus","26.917",75.817,"Jaipur, Rajasthan, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","34.43",70.46,"Jalalabad, Afghanistan","Gaisler, 1970a"
"Hipposideridae","Hipposideros fulvus","24.54",76.17,"Jhalara-Patan, Rajasthan, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","24.6",76.15,"Jhalawar, Rajasthan, India","Advani, 1982b"
"Hipposideridae","Hipposideros fulvus","26.28",73.02,"Jodhpur, Rajasthan, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","21.51",70.45,"Junagadh, Gujarat, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","27.666",85.35,"Kathmandu Valley, Nepal","Scully, 1887"
"Hipposideridae","Hipposideros fulvus","9.866667",78.15,"Keela Kuyil Kudi, Tamil Nadu, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","21.3",70.25,"Keshod, Gujarat, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","23.915",70.367,"Kuchh, Gujarat, India","Ghosh 2008"
"Hipposideridae","Hipposideros fulvus","7.483",80.366,"Kurenegala, North Western Province, Sri Lanka","Molur et al. 2002"
"Hipposideridae","Hipposideros fulvus","24.407",87.846,"Laljal, Medinipur, West Bengal, India","Ghosh 2008"
"Hipposideridae","Hipposideros fulvus","18.74",73.4,"Lonavala, Pune district, Maharashtra","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","17.92",73.65,"Mahabaleshwar, Satara Dist., Maharashtra","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","19.248",76.776,"Marathwada, Maharashtra, India","Madhavan et al., 1978"
"Hipposideridae","Hipposideros fulvus","5.949",80.535,"Matara, Southern Province, Sri Lanka","Molur et al. 2002"
"Hipposideridae","Hipposideros fulvus","18.97",72.82,"Mumbai, Maharashtra, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","25.23",86.28,"Munger, Bihar, India","Sinha, 1986a"
"Hipposideridae","Hipposideros fulvus","21.07",79.27,"Nagpur, Maharashtra, India","Sabnis, 1973"
"Hipposideridae","Hipposideros fulvus","19.195",77.305,"Nanded, Maharashtra, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","20.02",73.5,"Nasik, Maharashtra, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","7.1",93.779,"Nicobar Islands, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros fulvus","27.216",77.489,"Nr, Bharatpur City, Rajasthan","AMNH M-208128"
"Hipposideridae","Hipposideros fulvus","24.2",72.483333,"Palanpur, Gujarat, India","Ryley, 1914a"
"Hipposideridae","Hipposideros fulvus","17.933333",73.816667,"Panchgani, Maharashtra, India","Khajuria, 1953"
