"Family","Species","Latitude","Longitude","Location","Source"
"Hipposideridae","Hipposideros lankadiva","21.8",80.17,"Balaghat, Jabalpur, Madhya Pradesh","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","19.84",79.34,"Balharshah, Maharashtra, India","Gopalakrishna, 1986"
"Hipposideridae","Hipposideros lankadiva","26.15",73.133333,"Bhimbharak, Rajasthan, India","Wason, 1978"
"Hipposideridae","Hipposideros lankadiva","23.25",77.41,"Bhopal, Madhya Pradesh, India","Ghosh, 2008"
"Hipposideridae","Hipposideros lankadiva","7.13",80.4,"Bogala, Sabaragamuwa Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","18.116",83.001,"Borra Caves, Vishakapatnam, Andhra Pradesh","Ghosh, 2008"
"Hipposideridae","Hipposideros lankadiva","19.95",79.3,"Ca 150 mi. S. Nagpur, Chandrapur, Maharahshtra","AMNH M-268065"
"Hipposideridae","Hipposideros lankadiva","22.35",75.433,"Ca. 80 km SW Indore, Mandu, Madya Pradesh","AMNH M-268064"
"Hipposideridae","Hipposideros lankadiva","19.95",79.3,"Chandrapur, Maharashtra, India","Sapkal & Bhandarkar, 1984"
"Hipposideridae","Hipposideros lankadiva","25.35",90.43,"Chokpot, Garo hills, Meghalaya, India","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","27.03",88.26,"Darjeeling, West Bengal, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","15.39",78.83,"Diguvametta, Prakasam, Vishakapatnam, Andhra Pradesh, India","Ghosh, 2008"
"Hipposideridae","Hipposideros lankadiva","6.71",81.03,"Gampaha, Uva Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","23.35",80.02,"Gandigram, Madhya Pradesh, India","Khajuria, 1984"
"Hipposideridae","Hipposideros lankadiva","14.24",74.64,"Gersoppa, Uttara Kanara district, Karnataka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","8.23",80.71,"Hasticuchchiya, North Central Province, Sri Lanka","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","22.75",77.71,"Hoshangabad, Madhya Pradesh, India","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","7.21",81.53,"Inginiyagala, Eastern Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","28.69",77.16,"Kamalashille, Karnataka, India","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","7.28",80.63,"Kandy, Central Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","22.316667",80.616667,"Kanha National Park, Madhya Pradesh, India","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","19.083333",79.2,"Kawal Wildlife Sanctuary, Adilabad district, Andhra Pradesh","Srinivasulu, C. pers comm."
"Hipposideridae","Hipposideros lankadiva","25.562",91.296,"Khadum, Jaintia hills, Meghalaya, India","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","20.26",85.78,"Khandagiri, Orissa, india","Das et al., 1993"
"Hipposideridae","Hipposideros lankadiva","24.407",87.846,"Khuntimari, West Bengal, India","Agrawal et al., 1992"
"Hipposideridae","Hipposideros lankadiva","6.991",80.426,"Kitulgala, Sabaragamuwa Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","13.133",78.133,"Kolar, Karnataka, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","7.11",80.85,"Kumbalgamuwa, Central Province, Sri Lanka","Phillips, 1980"
"Hipposideridae","Hipposideros lankadiva","26.503",89.019,"Kuntimari, Jalpaiguri, West Bengal","Ghosh, 2008"
"Hipposideridae","Hipposideros lankadiva","15.81",78.03,"Kurnool, Andhra Pradesh, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","6.854",80.167,"Labugama, Western Province, Sri Lanka","Phillips, 1980"
"Hipposideridae","Hipposideros lankadiva","17.907",82.179,"Lankapakalu, Vishakapatnam, Andhra Pradesh","Ghosh, 2008"
"Hipposideridae","Hipposideros lankadiva","22.366667",75.4,"Mandu, Madhya Pradesh, India","Brosset, 1962b"
"Hipposideridae","Hipposideros lankadiva","6.957",81.279,"Medagama, Uva Province, Sri Lanka","Phillips, 1980"
"Hipposideridae","Hipposideros lankadiva","23.981",78.48,"Mundra, Madhya Pradesh, India","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","14.437",74.46,"Muroor, Karnataka, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","14.08",79.08,"Palakonda Hills, Cuddapah, Andhra Pradesh, India","Ghosh, 2008"
"Hipposideridae","Hipposideros lankadiva","6.92",79.84,"Papiliana, Colombo, Western  Province, Sri Lanka","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","7.545",80.482,"Ridigama, North Central Province, Sri Lanka","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","25.598",90.249,"Rongmachok, Meghalaya, India","Das et al., 1995"
"Hipposideridae","Hipposideros lankadiva","17.186",73.551,"Sangameshwar, Maharashtra, India","Muni et al. 1994"
"Hipposideridae","Hipposideros lankadiva","22.431",78.222,"Satpura Hills, Madhya Pradesh, India","Ghosh, 2008"
"Hipposideridae","Hipposideros lankadiva","25.579",91.89,"Shella & Sohbar, East Khasi hills, Meghalaya, India","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","25.49",90.24,"Siju Cave, West Garo Hills, Meghalaya","Kurup, 1968"
"Hipposideridae","Hipposideros lankadiva","22.7117",78.198,"Sohagpur, Madhya Pradesh, India","Wroughton, 1913ii"
"Hipposideridae","Hipposideros lankadiva","21.94",88.89,"Sunderbans, Bangladesh","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","15.67",74.18,"Talewadi, Belgaum District, Karnataka","Muni et al. 1994"
"Hipposideridae","Hipposideros lankadiva","8.48",76.94,"Thiruvananthapuram, Kerala, India","Ghosh, 2008"
"Hipposideridae","Hipposideros lankadiva","15.325",76.465,"Vijaynagar, Karnataka, India","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","6.952",81.294,"Wavulgale Badulla, Uva Province, Sri Lanka","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","6.817",80.354,"Wavulpane, Sabaragamuwa Province, Sri Lanka","Bates & Harrison 1997"
"Hipposideridae","Hipposideros lankadiva","6.366",81.516,"Yala, Southern Province, Sri Lanka","Phillips, 1980"
"Hipposideridae","Hipposideros lankadiva","14.962",74.707,"Yellapur, Karnataka, India","Molur et al. 2002"
"Hipposideridae","Hipposideros lankadiva","14.036151",74.634693,"Chandranatha basadi, Bhatkal, Karnataka","Srinivasulu pers obs"
"Hipposideridae","Hipposideros lankadiva","6.696944",81.06555,"Nikapitiya (Wellawaya), Sri Lanka","Tharaka pers obs"
"Hipposideridae","Hipposideros lankadiva","25.3",91.7,"Cherrapunji, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.2202",91.6672,"Laitkynsew, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.1734",91.6519,"Shella, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.1784",91.7323,"Sohbar, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.644975",91.64114,"Nongthymmai, Meghalaya, India","Das et al., 1995"
"Hipposideridae","Hipposideros lankadiva","25.1874",92.3768,"Prahng Karuh cave, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.7313",91.7944,"Umium Umtru Stage III dam site, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.4313",92.6016,"Cave Labit Kseh, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.4088",92.5572,"Cave Dieng Jem, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.1808",92.3941,"Cave Khleishnong in Lumshnong, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.324679",92.140185,"Cave Lakhon, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.1025",92.265,"Piel Klieng Pouk, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.3505",92.5167,"Shnongrim, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","25.1708",92.5061,"Khaddum, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","23.113",99.8458,"Chokpot, Meghalaya, India","Saikia et al 2018"
"Hipposideridae","Hipposideros lankadiva","20.340087",79.305862,"Tadoba-Andhari Tiger Reserve, Maharashtra, India","Saikia 2018"
"Hipposideridae","Hipposideros lankadiva","7.5033",81.233,"Maduru-Oya National Park, Sri Lanka","Edirisinghe et al 2018"
"Hipposideridae","Hipposideros lankadiva","17.382",78.401,"Golconda Fort, Hyderabad Dist., Telangana","OU.NHM Collection"
"Hipposideridae","Hipposideros lankadiva","19.11",79.09,"Chikatimori, Malyal, Jannaram, Adilabad Dist, Telangana ","OU.NHM Collection"
"Hipposideridae","Hipposideros lankadiva","19.106",78.787,"kadem project,  Kadem,  Adilabad Dist, Telangana","OU.NHM Collection"
"Hipposideridae","Hipposideros lankadiva","19.476",79.561,"Old Railway Quarters, Sirpur, Adilabad Dist, Telangana","OU.NHM Collection"
"Hipposideridae","Hipposideros lankadiva","18.252",79.939,"Ramappachruvu, Ramappa. Warangal Dist, Telangana","OU.NHM Collection"
"Hipposideridae","Hipposideros lankadiva","23.327",77.786,"Premi Temple, Raisen Fort, Raisen District, Madhya Pradesh","OU.NHM Collection"
"Hipposideridae","Hipposideros lankadiva","14.036",74.634,"Hallyani Jain Temples, Uttara Kanara, Karnataka","OU.NHM Collection"
"Hipposideridae","Hipposideros lankadiva","14.325",78.99,"Gohalakona, Vontimitta, Kadappa District, Andhra Pradesh","OU.NHM Collection"
"Hipposideridae","Hipposideros lankadiva","17.2666",78.7,"The cellar of an ancient temple near maheshwaram","Kaur et al. (2011)"
"Hipposideridae","Hipposideros lankadiva","20.29522",85.824787,"Bhubaneswar city","Debata et al. (2018)"
"Hipposideridae","Hipposideros lankadiva","7.319",80.577,"Tree of life nature resort, Kandy, Sri Lanka","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","6.432",80.415,"Martin's Lodge, Sinharaja Rainforest reserve, Sri Lanka","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","7.302",81.675,"Ampara, Sri Lanka ","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","24.127",91.446,"Habiganj District, Sylhet, Bangladesh","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","19.11",79.096,"Malyal, Telangana state, India","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","19.476",79.562,"Sirpur, Telangana state, India","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","15.85",74.5,"Belgaum District, Karnataka","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","24.575",77.408333,"Guna, Madhya Pradesh, India","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","25.576184",92.659129,"West Jaintia Hills, Meghalaya, India","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","12.755485",77.56237,"Muninagara, Bannerghatta National Park, Bangalore, Karnataka, India","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","7.212704",81.331848,"Nilagala, Pitakumbara, Moneragala, Sri Lanka","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","21.421858",76.131018,"Satpura Hills, Maharashtra","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","25.033307",78.056152,"Garha, Madhya Pradesh, India","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","7.175",80.89167,"Istripura cave, Pannala, Sabaragamuwa, Sri Lanka ","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","6.8333",80.3667,"Batatota lena cave, Sabaragamuwa, Sri Lanka","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","13.636332",78.45388,"Rishi Valley, Chittoor District, Madanapalle, Andhra Pradesh","GBIF 2022"
"Hipposideridae","Hipposideros lankadiva","7.274572",80.594532,"Peradniya, Sri Lanka","GBIF 2022"
