Family,Species,Latitude,Longitude,Location,Source
Hipposideridae,Hipposideros speoris,18.64,72.87,"Alibag, Maharashtra, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,8.34,80.38,"Anuradhapura, North Central Province, Sri Lanka","Wroughton, 1915ci"
Hipposideridae,Hipposideros speoris,8.25,77.55,"Arambol, Tamil Nadu, India","Wroughton, 1921ii"
Hipposideridae,Hipposideros speoris,17.66,73.42,"Asgani, Maharashtra, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,15.91,75.67,"Badami, Karnataka, India","Brosset, 1962b"
Hipposideridae,Hipposideros speoris,6.98,81.05,"Badulla, Uva Province, Sri Lanka","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,6.64,80.7,"Balangoda, Sabaragamuwa Province, Sri Lanka","Phillips, 1980"
Hipposideridae,Hipposideros speoris,12.966667,77.566667,"Bangalore, Bangalore district, Karnataka","Ramakrishna et al., 1981"
Hipposideridae,Hipposideros speoris,22.3,73.2,"Baroda, Gujarat, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,15.85,74.5,"Belgaum, Karnataka, India","Sinha, 1976"
Hipposideridae,Hipposideros speoris,20.27,85.84,"Bhubaneshwar, Orissa, India","Das et al., 1993"
Hipposideridae,Hipposideros speoris,7.13,80.4,"Bogala, Sabaragamuwa Province, Sri Lanka","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,19.23,72.83,"Borivli, Maharashtra, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,20,80,"Chanda, Maharashtra, India","Blanford, 1888-91"
Hipposideridae,Hipposideros speoris,8.68,77.56,"Cheranmahadevi, Tamil Nadu, India","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,14.08,79.08,"Chintarjunapally, Palkonda hills, Andhra Pradesh, India","Sinha, 1976"
Hipposideridae,Hipposideros speoris,6.93,79.84,"Colombo, Western Province, Sri Lanka","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,14.59,78.96,"Cuddapah, Andhra Pradesh, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,30.31,78.03,"Dehra Dun, Uttarakhand, India","Jerdon, 1874"
Hipposideridae,Hipposideros speoris,12.13,78.16,"Dharmapuri, Tamil Nadu, India","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,18.97,72.94,"Elephanta Caves (Bombay Harbor), Kolaba Dist., Maharashtra",AMNH M-208144
Hipposideridae,Hipposideros speoris,20.02,75.16,"Ellora, Maharashtra, India","Bates et al., 1994c"
Hipposideridae,Hipposideros speoris,10.01,76.3,"Ernakulam, Kerala, India",Molur et al. 2002
Hipposideridae,Hipposideros speoris,16.53,79.4,"Ethipotla Fall, Andhra Pradesh, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,15.41,75.61,"Gadag, Karnataka, India","Wroughton, 1912c"
Hipposideridae,Hipposideros speoris,6.05,80.21,"Galle, Southern Province, Sri Lanka","Molur et al., 2002"
Hipposideridae,Hipposideros speoris,7.56,80.7,"Gammaduwa, Central Province, Sri Lanka","Phillips, 1980"
Hipposideridae,Hipposideros speoris,17.48,73.46,"Ganesh-Khind, Maharashtra, India",Molur et al. 2002
Hipposideridae,Hipposideros speoris,14.24,74.64,"Gersoppa, Uttara Kanara district, Karnataka","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,14.55,74.31,"Gokarna, Karnataka, India",Molur et al. 2002
Hipposideridae,Hipposideros speoris,6.12,81.12,"Hambantota, Southern Province, Sri Lanka","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,15.33,76.46,"Hampi, Karnataka, India","Bates & Harrison, 1997"
Hipposideridae,Hipposideros speoris,13.1593,78.2929,"Hanumanhalli, Kolar district, Karnataka, India","Bhat & Jacob, 1990"
Hipposideridae,Hipposideros speoris,18.53,73.82,"Hill Chatrushringi temple, Maharashtra, India","Bates & Harrison, 1997"
