"Family","Species","Latitude","Longitude","Location","Source"
"Vespertilionidae","Kerivoula picta","27.500278",84.500278,"Chitwan National Park, Nepal","Thapa et al 2021"
"Vespertilionidae","Kerivoula picta","27.56",76.6,"Alwar, Rajasthan, India","Sharma. 1986"
"Vespertilionidae","Kerivoula picta","8.34",80.38,"Anuradhapura, North Central Province, Sri Lanka","Molur et al., 2002"
"Vespertilionidae","Kerivoula picta","6.64",80.7,"Balangoda, Sabaragamuwa Province, Sri Lanka","Phillips, 1980"
"Vespertilionidae","Kerivoula picta","21.125",79.101,"Berar, Maharashtra, India","d'Abreu, 1926"
"Vespertilionidae","Kerivoula picta","6.78",80.66,"Bogawantalawa, Central Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Kerivoula picta","6.93",79.84,"Colombo, Western Province, Sri Lanka","Phillips, 1980"
"Vespertilionidae","Kerivoula picta","19.96",72.73,"Dahanu, Maharashtra, India","Molur et al., 2002"
"Vespertilionidae","Kerivoula picta","27.03",88.26,"Darjeeling, West Bengal, India","Agrawal et al., 1992"
"Vespertilionidae","Kerivoula picta","23.72",90.4,"Dhaka, Bangladesh","Blanford, 1888-91"
"Vespertilionidae","Kerivoula picta","15.46",75.01,"dharwad, Karnataka, India","Wroughton, 1912c"
"Vespertilionidae","Kerivoula picta","6.05",80.21,"Galle, Southern Province, Sri Lanka","Phillips, 1980"
"Vespertilionidae","Kerivoula picta","17.716667",73.7,"Ghatmatha, Maharashtra, India","Wroughton, 1916aiii"
"Vespertilionidae","Kerivoula picta","15.37",74.18,"Goa, India","Agrawal, 1973"
"Vespertilionidae","Kerivoula picta","11.12",78.65,"High Wavy Mountains, Tamil Nadu, India","Hutton, 1949b"
"Vespertilionidae","Kerivoula picta","26.5",88.5,"Jalpaiguri, Jalpaiguri district, West Bengal","Bates & Harrison, 1997"
"Vespertilionidae","Kerivoula picta","18.85",82.56,"Jeypore, Orissa, India","Das et al., 1993"
"Vespertilionidae","Kerivoula picta","6.57",79.96,"Kalutara, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Kerivoula picta","10.53",76.33,"Kannara, Kerala, India","Molur et al., 2002"
"Vespertilionidae","Kerivoula picta","8.35",81,"Kantalai, Eastern Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Kerivoula picta","19.183333",78.766667,"Kawal Wildlife Sanctuary, Andhra Pradesh, India","Molur et al., 2002"
"Vespertilionidae","Kerivoula picta","22.56",88.36,"Kolkata, West Bengal, India","Bates & Harrison, 1997"
