"Family","Species","Latitude","Longitude","Location","Source"
"Megadermatidae","Lyroderma lyra","24.821",76.009,"Abelimeni Fort, Kota, Rajasthan, India","Srinivasulu C. & B. Srinivasulu"
"Megadermatidae","Lyroderma lyra","27.18",78.02,"Agra, Uttar Pradesh, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","20.53",75.75,"Ajanta, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","26.45",74.64,"Ajmer, Rajasthan, India","Advani, 1981a,"
"Megadermatidae","Lyroderma lyra","22.57",72.93,"Anand, Gujarat, India","Brosset, 1962b"
"Megadermatidae","Lyroderma lyra","6.483333",80.5,"Anasigala, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","26.2",92.93,"Angarakhata, Assam, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","20.85",85.1,"Angul, Orissa, India","Molur et al., 2002"
"Megadermatidae","Lyroderma lyra","21.47",76.29,"Asirgarh, Madhya Pradesh, India","Wroughton, 1912biii,"
"Megadermatidae","Lyroderma lyra","24.75",84.36,"Aurangabad, Bihar, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","19.88",75.31,"Aurangabad, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","26.02",89.97,"B.N. College, Dhubri, Assam, India","Molur et al., 2002"
"Megadermatidae","Lyroderma lyra","23.966",78.42,"Bajranggarh Ft., Raja Mah, Guva, Madhya Pradesh","AMNH"
"Megadermatidae","Lyroderma lyra","21.8",80.17,"Balaghat, Jabalpur, Madhya Pradesh","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","14.678",78.832,"Balapalli, Andhra Pradesh, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","20.17",85.1,"Balugaon, Orissa, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","27.1",93.82,"Banderdewa, Arunachal Pradesh, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","23.25",87.07,"Bankura, West Bengal, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","23.55",74.45,"Banswara, Rajasthan, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","27.55",86.1,"Barabisse, Nepal","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","22.51",86.48,"Barbera, Orissa, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","23.23",87.86,"Barddhaman, West Bengal, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","15.85",74.5,"Belgaum, Karnataka, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","25.24",86.99,"Bhagalpur, Bihar, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","19.06",72.83,"Bhandra, Maharashtra, India","Golpalakrishna & Badwaik, 1989"
"Megadermatidae","Lyroderma lyra","26.56",78.79,"Bhind, Madhya Pradesh, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","24",87.58,"Birbhum, West Bengal, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","19.23",72.83,"Borivili, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","19.966667",79.366667,"Bulapur, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","25.5",75.83,"Bundi, Rajasthan, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","24.16",76.98,"Chachora Fort, Madhya Pradesh, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","19.72",85.34,"Chilka Lake, Orissa, India","Sinha, 1980"
"Megadermatidae","Lyroderma lyra","19.95",79.366667,"Chinchpali, Maharashtra, India","Wroughton, 1913ii"
"Megadermatidae","Lyroderma lyra","11",76.96,"Coimbatore, Tamil Nadu, India","Sinha, 1980"
"Megadermatidae","Lyroderma lyra","6.93",79.84,"Colombo, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","14.59",78.96,"Cuddapah, Andhra Pradesh, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","15.56",79.11,"Cumbum, Andhra Pradesh, India","Wroughton, 1921i"
"Megadermatidae","Lyroderma lyra","20.46",85.88,"Cuttack, Orissa, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","21.89",80.79,"Damoh, Madhya Pradesh, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","24.2",72.74,"Danta, Gujarat, India","Ryley, 1914a"
"Megadermatidae","Lyroderma lyra","27.03",88.26,"Darjeeling, West Bengal, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","24.24",72.16,"Deesa, Gujarat, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","15.13",74.93,"Devikop, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","22.43",78.17,"Dhain, Madhya Pradesh, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","23.8",86.45,"Dhanbad, Bihar, India","Bates & Harrison, 1997"
"Megadermatidae","Lyroderma lyra","15.39",78.83,"Diguvametta, Andhra Pradesh, India","Sinha, 1980"
"Megadermatidae","Lyroderma lyra","23.83",73.71,"Dungarpur, Rajasthan, India","Bates & Harrison, 1997"
