"Family","Species","Latitude","Longitude","Location","Source"
"Megadermatidae","Megaderma spasma","6.483333",80.5,"Anasigalla, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","19.23",72.83,"Borivili, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","20",80,"Chanda, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","11.13",78.66,"Chettiri Range, Tamil Nadu, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","18.55",72.93,"Chunabhatti, West Bengal, India","Bhat, 1974"
"Megadermatidae","Megaderma spasma","10.527111",76.676433,"Tribal Colony, Neliumpathy, Kerala","Tariq, Devender, Srinivasulu pers obs"
"Megadermatidae","Megaderma spasma","9.96",76.23,"Cochin, Kerala, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","12.41",75.75,"Coorg, Karnataka, India","Molur et al., 2002"
"Megadermatidae","Megaderma spasma","14.24",74.64,"Gersoppa, Uttara Kanara district, Karnataka","Wroughton, 1913i"
"Megadermatidae","Megaderma spasma","6.83",80.08,"Godigamua, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","6.75",80.01,"Gonapola, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","22.16",88.81,"Gosaba, West Bengal, India","Agrawal et al., 1992"
"Megadermatidae","Megaderma spasma","15.31",75.71,"Haleri, Karnataka, India","Ryley, 1913bii"
"Megadermatidae","Megaderma spasma","11.12",78.65,"High Wavy Mountains, Tamil Nadu, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","15.31",75.71,"Honkan, Karnataka, India","Wroughton, 1912c"
"Megadermatidae","Megaderma spasma","14.7",74.77,"Hulekal, Karnataka, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","6.57",79.96,"Kalutara, Western Province, Sri Lanka","Phillips, 1980"
"Megadermatidae","Megaderma spasma","19.2",72.9,"Kanheri Caves, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","25.759",72.16,"Kansara Grass Office, Bhaunagar, Gujarat","AMNH"
"Megadermatidae","Megaderma spasma","18.05",74.01,"Khandala, Maharashtra, India","Brosset, 1962b"
"Megadermatidae","Megaderma spasma","26.056",92.856,"Kulsi, Assam, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","7.11",80.85,"Kumbalgamuwa, Central Province, Sri Lanka","Phillips, 1980"
"Megadermatidae","Megaderma spasma","12.42",75.74,"Madikere, Kodagu district, Karnakata","Srinivasulu, C. & B. Srinivasulu"
"Megadermatidae","Megaderma spasma","8",81.466667,"Mankeni, Eastern Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","6.522",80.114,"Matugama, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","6.225",80.288,"Mapalagama, Southern Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","21.499",77.173,"Melaghat Tiger Reserve, Maharashtra, India","Molur et al., 2002"
"Megadermatidae","Megaderma spasma","6.203",80.285,"Nagoda, Southern Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","9.73",77.3,"near Cumbum, Tamil Nadu, India","Wroughton, 1921i"
"Megadermatidae","Megaderma spasma","23.5",93,"Paikla, Mizoram, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","10.766667",76.7,"Palghat, Kerala, India","Lindsay, 1927i"
"Megadermatidae","Megaderma spasma","8.066667",81.45,"Panichi Kankeni, Eastern Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","12.17",75.2,"Paralam, Kerala, India","Molur et al., 2002"
"Megadermatidae","Megaderma spasma","21.6",79.46,"Pench National Park, Maharashtra, India","Molur et al., 2002"
"Megadermatidae","Megaderma spasma","7.1",80,"Pilikutthuwa, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","26.19",92.94,"Rajapara, Assam, India","Hinton & Lindsay, 1967"
"Megadermatidae","Megaderma spasma","16.656",73.517,"Rajapur, Maharashtra, India","Bates & Harrison, 1997"
"Megadermatidae","Megaderma spasma","14.17",75.03,"Sagar, Karnataka, India","Molur et al., 2002"
"Megadermatidae","Megaderma spasma","6.249",80.859,"Samarakella, Southern Province, Sri Lanka","Wroughton, 1915ci"
"Megadermatidae","Megaderma spasma","14.61",74.82,"Sirsi, Karnataka, India","Bates & Harrison, 1997"
