"Family","Species","Latitude","Longitude","Location","Source"
"Vespertilionidae","Pipistrellus ceylonicus","23.03",72.58,"Ahmedabad, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","20.53",75.75,"Ajanta, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","22.57",72.93,"Anand, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","19.11",72.86,"Andheri, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","13.142459",78.100486,"Antaragange temple, Kolar, Karnataka","Srinivasulu pers obs"
"Vespertilionidae","Pipistrellus ceylonicus","15.433333",74.5,"Astoli, Karnataka, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","19.88",75.31,"Aurangabad, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","6.82",80.98,"Bandarawela, Uva Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","19.06",72.83,"Bandra, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","12.966667",77.566667,"Bangalore, Bangalore district, Karnataka","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","18.281853",83.038494,"Borra caves, Visakhapatnam, Andhra Pradesh, India","Ghosh 2006"
"Vespertilionidae","Pipistrellus ceylonicus","22.3",73.2,"Baroda, Gujarat, India","Brosset, 1962c"
"Vespertilionidae","Pipistrellus ceylonicus","21.217",79.666,"Belgaon, Maharashtra, India","Khajuria, 1967"
"Vespertilionidae","Pipistrellus ceylonicus","15.85",74.5,"Belgaum, Maharashtra, India","Khajuria, 1953"
"Vespertilionidae","Pipistrellus ceylonicus","15.13",76.91,"Bellary, Karnataka, India","Brosset, 1962c"
"Vespertilionidae","Pipistrellus ceylonicus","23.26",69.66,"Bhuj, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","21.7",72.96,"Broach, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","23.2",69.9,"Charwa, Gujarat, India","Wroughton, 1912bii"
"Vespertilionidae","Pipistrellus ceylonicus","21.4",77.31,"Chikalda, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","23.2",84.233333,"Chota Nagpur, Jharkhand, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","15.283333",76.433333,"Coringa Wildlife Sanctuary, Andhra Pradesh, India","Srinivasulu et al., 1998"
"Vespertilionidae","Pipistrellus ceylonicus","7.85",80.65,"Dambulla, Central Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","23.8",86.45,"Dhanbad, Bihar, India","Sinha, 1986a"
"Vespertilionidae","Pipistrellus ceylonicus","15.46",75.01,"Dharwar, Karnataka, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","15.832402",75.040559,"Dhupdal, Belgaum district, Karnataka","Ghosh 2006"
"Vespertilionidae","Pipistrellus ceylonicus","6.866667",80.6,"Dickoya, Central Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","15.39",78.83,"Diguvametta, Prakasam, Vishakapatnam, Andhra Pradesh, India","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","15.627",78.291,"Eduoorlagavi, Kurnool Dist., Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","15.41",75.61,"Gadag, Karnataka, India","Wroughton, 1912c"
"Vespertilionidae","Pipistrellus ceylonicus","15.31",75.71,"Haleri, Karnataka, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","6.76",80.95,"Haputale, Uva Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","17.36",73.73,"Helwak, Maharashtra, India","Wroughton, 1916aiii"
"Vespertilionidae","Pipistrellus ceylonicus","14.26",74.41,"Honawar, Karnataka, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","6.81",80.78,"Horton Plains, Uva Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","17.36",78.47,"Hyderabad, Andhra Pradesh, India","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","23.16",79.93,"Jabalpur, Madhya Pradesh, India","Molur et al., 2002"
"Vespertilionidae","Pipistrellus ceylonicus","16.54",74.76,"Jellopur, Karnataka, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","20.316839",78.296386,"Jodmoha, Yavatmal, Maharashtra","Ghosh 2006"
"Vespertilionidae","Pipistrellus ceylonicus","21.51",70.45,"Junagadh, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","19.2",78.881,"Junnar, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","12.2",76.66,"Kadakola, Karnataka, India","Molur et al., 2002"
"Vespertilionidae","Pipistrellus ceylonicus","6.57",79.96,"Kalutara, Western Province, Sri Lanka","Phillips, 1980"
"Vespertilionidae","Pipistrellus ceylonicus","28.69",77.16,"Kamala Nehru ridge, Delhi","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","7.28",80.63,"Kandy, Central Province, Sri Lanka","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","24.89",67.02,"Karachi, Sind, Pakistan","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","18.43",79.13,"Karimnagar, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","18.76",73.46,"Karla caves, Pune district, Maharashtara","Topal, 1974"
"Vespertilionidae","Pipistrellus ceylonicus","21.3",70.25,"Keshod, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","17.24",80.15,"Khammam fort, Khammam district, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","30.301",71.931,"Khanewal, Punjab, Pakistan","Roberts, 1977"
"Vespertilionidae","Pipistrellus ceylonicus","21.306",70.085,"Khirasara, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","22.56",88.36,"Kolkata, West Bengal, India","Lal & Biswas, 1985a"
"Vespertilionidae","Pipistrellus ceylonicus","18.816667",82.716667,"Koraput, Orissa, India","Das et al., 1993"
"Vespertilionidae","Pipistrellus ceylonicus","14.264",75.058,"Kyasanur, Karnataka, India","Molur et al., 2002"
"Vespertilionidae","Pipistrellus ceylonicus","26.216",68.334,"Landhi, Sind, Pakistan","Wroughton, 1916ci"
"Vespertilionidae","Pipistrellus ceylonicus","16.861",73.549,"Lanja, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","18.74",73.4,"Lonavala, Pune district, Maharashtra","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","22.383",85.533,"Luia, Jharkhand, India","Wroughton, 1915cii"
"Vespertilionidae","Pipistrellus ceylonicus","31.408",73.083,"Lyallpur, Pakistan","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","12.42",75.74,"Madikere, Kodagu district, Karnakata","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","7.4",80.733,"Madulkele, Central Province, Sri Lanka","Phillips, 1980"
"Vespertilionidae","Pipistrellus ceylonicus","15.47",78.62,"Mahanandi, Nagarjunasagar Srisailam Tiger Reserve, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","17.333333",78.583333,"Mahaveer Harina Vanasthali National Park, Hyderabad, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","28.7",77.22,"Majnu-ka-Tila, near river Yamuna ring road, Delhi","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","25.894",68.524,"Malir (ca. 10 mi. E. Karachi)., Karachi, Sind, Pakistan","Walton, 1974"
"Vespertilionidae","Pipistrellus ceylonicus","22.366667",75.4,"Mandu, Madhya Pradesh, India","Brosset, 1962c"
"Vespertilionidae","Pipistrellus ceylonicus","12.87",74.88,"Mangalore, Karnataka, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","16.37",78.75,"Mannanur, Nagarjunasagar Srisailam Tiger Reserve, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","10.54",76.28,"Mannuthy, Kerala Agriculture Univeristy Campus, Thrissur, Kerala","Srinivasulu, C. & B. Srinivasulu"
"Vespertilionidae","Pipistrellus ceylonicus","12.424",75.741,"Mercara, Karnataka, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","21.17",72.9,"Mheskatri, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","15.38",74.17,"Mollem, Goa, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","24.592",72.715,"Mount Abu, Rajasthan, India","Ryley, 1914a"
"Vespertilionidae","Pipistrellus ceylonicus","18.97",72.82,"Mumbai, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus ceylonicus","18.193069",79.943147,"Mulugu, Warangal, Telangana","Ghosh 2006"
"Vespertilionidae","Pipistrellus ceylonicus","21.07",79.27,"Nagpur, Maharashtra, India","Sabnis, 1973"
"Vespertilionidae","Pipistrellus ceylonicus","6.926",81.123,"Namunukula, Uva Province, Sri Lanka","Phillips, 1980"
