Family,Species,Latitude,Longitude,Location,Source
Vespertilionidae,Pipistrellus coromandra,24.75,84.36,"Aurangabad, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,26.96,85.38,"Bairia, Nepal","Hinton & Fry, 1923"
Vespertilionidae,Pipistrellus coromandra,21.8,80.17,"Balaghat, Jabalpur, Madhya Pradesh","Molur et al., 2002"
Vespertilionidae,Pipistrellus coromandra,21.49,86.93,"Baleshwar, Orissa , India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,19.06,72.83,"Bandra, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,12.966667,77.566667,"Bangalore, Bangalore district, Karnataka","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,27.55,86.1,"Barabisse, Nepal","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,15.13,76.91,"Bellary, Karnataka, India","Brosset, 1962c"
Vespertilionidae,Pipistrellus coromandra,25.24,86.99,"Bhagalpur, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,25.58,84.13,"Bhojpur, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,7.15,81.22,"Bibile, Uva Province, Sri Lanka","Phillips, 1933aii"
Vespertilionidae,Pipistrellus coromandra,9.16,92.76,"Car Nicobar, Nicobar Islands, India","Sinha, 1986a"
Vespertilionidae,Pipistrellus coromandra,32.18,74.41,"Chakri, Punjab, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,26.84,84.68,"Champaran, Bihar, India","Sinha, 1986a"
Vespertilionidae,Pipistrellus coromandra,8.66,80.3,"Cheddikulam, Northern Province, Sri Lanka","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,25.3,91.7,"Cherrapunji, Meghalaya, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus coromandra,35.83,71.78,"Chitral, NWFP, Pakistan","Roberts, 1997"
Vespertilionidae,Pipistrellus coromandra,6.93,79.84,"Colombo, Western Province, Sri Lanka","Molur et al., 2002"
Vespertilionidae,Pipistrellus coromandra,34.73,70.65,"Darreh-ye Nur, Afghanistan","Gaisler, 1970a"
Vespertilionidae,Pipistrellus coromandra,21.38,73.33,"Deogad, Gujarat, India","Gaisler, 1970a"
