"Family","Species","Latitude","Longitude","Location","Source"
"Vespertilionidae","Pipistrellus javanicus","25.456795",81.79575,"Allahabad, Uttar Pradesh","Ghosh 2006"
"Vespertilionidae","Pipistrellus javanicus","21.8",80.17,"Balaghat, Jabalpur, Madhya Pradesh","Molur et al., 2002"
"Vespertilionidae","Pipistrellus javanicus","22.37",91.91,"Boalkhali Thana, Bangladesh","Kock, 1996"
"Vespertilionidae","Pipistrellus javanicus","27.7",85.216667,"Bouzini, Nepal","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","11.402",92.958,"Camorta Island, Nicobar Islands, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","7.01",93.91,"Campbell Bay, Nicobar Islands, India","Saha, 1980"
"Vespertilionidae","Pipistrellus javanicus","9.16",92.76,"Car Nicobar, Nicobar Islands, India","Soota & Chaturvedi, 1971"
"Vespertilionidae","Pipistrellus javanicus","26.14",85.85,"Darbhanga, Bihar, India","Sinha, 1986a"
"Vespertilionidae","Pipistrellus javanicus","27.03",88.26,"Darjeeling, West Bengal, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","30.08",79.93,"Dhakuri, Uttarakhand, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","33.916667",73.45,"Gharial, Punjab, Pakistan","Roberts, 1977"
"Vespertilionidae","Pipistrellus javanicus","27.62",85.34,"Godavari, Nepal","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","26.5",88.5,"Jalpaiguri, Jalpaiguri district, West Bengal","Agrawal et al., 1992"
"Vespertilionidae","Pipistrellus javanicus","29.05",82.55,"Kakane, Nepal","Hinton & Fry, 1923"
"Vespertilionidae","Pipistrellus javanicus","22.316667",80.616667,"Kanha National Park, Madhya Pradesh, India","Molur et al., 2002"
"Vespertilionidae","Pipistrellus javanicus","34.61",72.28,"Karakar Pass, NWFP, Pakistan","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","27.7",85.31,"Kathmandu, Nepal","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","24.33",91.5,"Luskerpore, Bangladesh","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","22.59",80.37,"Mandla, Madhya Pradesh, India","Molur et al., 2002"
"Vespertilionidae","Pipistrellus javanicus","27.28",95.68,"Margherita, Assam, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","33.943",73.388,"Murree, Punjab, Pakistan","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","30.45",78.08,"Mussoorie, Uttar Pradesh, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","27.715",85.522,"Nagarkot, Nepal","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","26.97",88.56,"Nimbong, West Bengal, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","26.116667",91.5,"Palasbari, Assam, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","17.933333",73.816667,"Panchgani, Maharashtra, India","Khajuria, 1953"
"Vespertilionidae","Pipistrellus javanicus","27.06",88.4,"Pashok, West Bengal, India","Wroughton, 1916ciii"
"Vespertilionidae","Pipistrellus javanicus","11.666667",92.733333,"Port Blair, Andaman Islands, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","18.47",73.79,"Pune, Maharashtra, India","Molur et al., 2002"
"Vespertilionidae","Pipistrellus javanicus","22.38",91.91,"Purba Gomdandi, Bangladesh","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","26.19",92.94,"Rajapara, Assam, India","Hinton & Lindsay, 1926"
"Vespertilionidae","Pipistrellus javanicus","29.391",79.124,"Ramnagar, Uttarakhand, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","27.083",86.433,"Rasuwa, Nepal","Kock, 1996"
"Vespertilionidae","Pipistrellus javanicus","27.195",88.611,"Rongli, Sikkim, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","26.245",77.399,"Sabalgarh, Madhya Pradesh, India","Lindsay, 1926b"
"Vespertilionidae","Pipistrellus javanicus","31.091",77.17,"Shimla, Himachal Pradesh, India","Bates & Harrison, 1997"
"Vespertilionidae","Pipistrellus javanicus","26.857",85.738,"Siripur, Nepal","Bates & Harrison, 1997"
