Family,Species,Latitude,Longitude,Location,Source
Vespertilionidae,Pipistrellus tenuis,26.45,74.64,"Ajmer, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,23.93,91.85,"Ambassa, Tripura, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,22.57,72.93,"Anand, Gujarat, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,6.483333,80.5,"Anasigalla, Western Province, Sri Lanka","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,26.2,92.93,"Angarakhata, Assam, India","Hinton & Lindsay, 1926"
Vespertilionidae,Pipistrellus tenuis,15.433333,74.5,"Astoli, Karnataka, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,22.25,71.19,"Bagdu, Gujarat, India","Ryley, 1913bi"
Vespertilionidae,Pipistrellus tenuis,26.96,85.38,"Bairia, Nepal","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,12.966667,77.566667,"Bangalore, Bangalore district, Karnataka","Ryley, 1913a"
Vespertilionidae,Pipistrellus tenuis,28.14,81.77,"Banke, Nepal","Mitchell, 1980"
Vespertilionidae,Pipistrellus tenuis,23.55,74.45,"Banswara, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,15.3,74.6,"Barchi, Karnataka, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,23.23,87.86,"Barddhaman, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,25.75,71.38,"Barmer, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,25.42,86.13,"Begusarai, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,15.13,76.91,"Bellary, Karnataka, India","Brosset, 1962c"
Vespertilionidae,Pipistrellus tenuis,25.24,86.99,"Bhagalpur, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,31.17,72.709,"Bhattu Hissar, Punjab, Pakistan","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,21.05,75.77,"Bhodwad, Maharshtra, India","Wroughton, 1912a"
Vespertilionidae,Pipistrellus tenuis,25.58,84.13,"Bhojpur, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,22.51,74.69,"Bori, Madhya Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,25.5,75.83,"Bundi, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,22.56,88.36,"Calcutta, Kenilworth Hotel, , West Bengal",AMNH M-215555
Vespertilionidae,Pipistrellus tenuis,30.28,72.46,"Chaklala, Punjab, Pakistan","Hinton & Thomas, 1926"
Vespertilionidae,Pipistrellus tenuis,32.18,74.41,"Chakri, Punjab, Pakistan","Siddiqi, 1961"
Vespertilionidae,Pipistrellus tenuis,26.84,84.68,"Champaran, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,20,80,"Chanda, Maharashtra, India","Wroughton, 1913ii"
Vespertilionidae,Pipistrellus tenuis,30.73,76.78,"Chandigarh, Haryana, India","Gandhi, 1989"
Vespertilionidae,Pipistrellus tenuis,25.56,94.22,"Chekrima, Nagaland, India","Nath, 1952"
Vespertilionidae,Pipistrellus tenuis,11.13,78.66,"Chettiri Range, Tamil Nadu, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,21.4,77.31,"Chikalda, Maharashtra, India","Wroughton, 1912b"
Vespertilionidae,Pipistrellus tenuis,19.95,79.366667,"Chinchpali, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,35.83,71.78,"Chitral, NWFP, Pakistan","Sinha, 1980"
Vespertilionidae,Pipistrellus tenuis,6.93,79.84,"Colombo, Western Province, Sri Lanka","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,15.283333,76.433333,"Coringa Wildlife Sanctuary, Andhra Pradesh, India","Srinivasulu et al., 1998"
Vespertilionidae,Pipistrellus tenuis,26.14,85.85,"Darbhanga, Bihar, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,27.03,88.26,"Darjeeling, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,28.966667,79.116667,"Dela, Uttar Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Pipistrellus tenuis,21.38,73.33,"Deogad, Gujarat, India","Bates & Harrison, 1997"
