"Family","Species","Latitude","Longitude","Location","Source"
"Pteropodidae","Pteropus medius","22.71",88.71,"24 Paraganas Dist., West Bengal","AMNH"
"Pteropodidae","Pteropus medius","0.6333",73.166,"Addu Atoll, Maldives","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","23.68",76.05,"Agar Malwa, Madhya Pradesh, India","Lindsay, 1926b"
"Pteropodidae","Pteropus medius","23.7",76.02,"Agar, Madhya Pradesh, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","19.08",74.73,"Ahmednagar, Maharashtra, India","McCann, 1934"
"Pteropodidae","Pteropus medius","26.45",74.64,"Ajmer, Rajasthan, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","22.52",88.33,"Alipore, West Bengal","AMNH"
"Pteropodidae","Pteropus medius","25.45",81.85,"Allahabad, Uttar Pradesh, India","Bhatnagar & Srivastava, 1974"
"Pteropodidae","Pteropus medius","23.52",91.65,"Amarpur, Tripura, India","Agrawal & Bhattacharyya, 1977"
"Pteropodidae","Pteropus medius","20.93",77.75,"Amravati, Maharashtra, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","6.483333",80.5,"Anasigalla, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","8.34",80.38,"Anuradhapura, North Central Province, Sri Lanka","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","3.86",72.86,"Ari, Maldives","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","21.47",76.29,"Asirgarh, Madhya Pradesh, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","15.5",74.833333,"Avatgi, Karnataka, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","28.36",83.29,"Baglung, Nepal","Molur et al., 2002"
"Pteropodidae","Pteropus medius","21.8",80.17,"Balaghat, Jabalpur, Madhya Pradesh","Sinha, 1980"
"Pteropodidae","Pteropus medius","19.05",79.49,"Balapalli,  Andhra Pradesh, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","6.68",79.95,"Balgoda, Sri Lanka","AMNH"
"Pteropodidae","Pteropus medius","6.82",80.98,"Bandarawela, Uva Province, Sri Lanka","Phillips, 1980"
"Pteropodidae","Pteropus medius","23.25",87.07,"Bankura, West Bengal, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","23.55",74.45,"Banswara, Rajasthan, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","22.22",69.01,"Baradia, Gujarat, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","6.47",79.98,"Barberyn island, Western Province, Sri Lanka","Phillips, 1980"
"Pteropodidae","Pteropus medius","23.23",87.86,"Barddhaman, West Bengal, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","23.25",87.84,"Bardhaman, West Bengal, India","Sinha, 1980"
"Pteropodidae","Pteropus medius","22.7",90.36,"Barisal, Bangladesh","Khan, 1985"
"Pteropodidae","Pteropus medius","19.68",85.26,"Barkuda Island, Chilka Lake, Ganjam District, Orissa","Das et al., 1993"
"Pteropodidae","Pteropus medius","22.3",73.2,"Baroda, Gujarat, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","26.31",90.99,"Barpeta, Assam, India","Molur et al., 2002"
"Pteropodidae","Pteropus medius","19.21",81.93,"Bastar, Chhattisgarh, India","Molur et al., 2002"
"Pteropodidae","Pteropus medius","25.42",86.13,"Begusarai, Bihar, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","19.61",74.65,"Belapur, Maharashtra, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","25.24",86.99,"Bhagalpur, Bihar, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","26.56",78.79,"Bhind, Madhya Pradesh, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","23.26",69.66,"Bhuj, Gujarat, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","6.68",80.16,"Bulathsinhala, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","25.08",92.91,"Cachar, Assam, India","Andersen, 1912"
"Pteropodidae","Pteropus medius","11.24",75.76,"Calicut, kerala, India","Molur et al., 2002"
"Pteropodidae","Pteropus medius","24.16",76.98,"Chachora, Madhya Pradesh, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","8.48",76.94,"Chalai, Kerala, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","26.84",84.68,"Champaran, Bihar, India","Bates & Harrison, 1997"
"Pteropodidae","Pteropus medius","20",80,"Chanda, Maharashtra, India","Sinha, 1980"
"Pteropodidae","Pteropus medius","23.2",69.9,"Charwa, Gujarat, India","Wroughton, 1912bii"
"Pteropodidae","Pteropus medius","8.66",80.3,"Cheddikulam, Northern Province, Sri Lanka","Wroughton, 1915ci"
