"Family","Species","Latitude","Longitude","Location","Source"
"Rhinolophidae","Rhinolophus affinis","27.55",86.1,"Barabisse, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","22.76",88.37,"Barrakpore, West Bengal","Ghosh, 2008"
"Rhinolophidae","Rhinolophus affinis","28.88",79.26,"Bilaspur, Uttarakhand, India","Bhat, 1974"
"Rhinolophidae","Rhinolophus affinis","27.95",84.42,"Bimalnager, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","27.7",85.216667,"Bouzini, Nepal","Fry, 1925"
"Rhinolophidae","Rhinolophus affinis","25.3",91.7,"Cherrapunji, Meghalaya, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","27.03",88.26,"Darjeeling, West Bengal, India","Dobson, 1874"
"Rhinolophidae","Rhinolophus affinis","13.265",92.982,"Diglipur, North Andaman, Andaman & Nicobar Islands, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus affinis","28.07",84.09,"Dulegaunda, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","26.994",95.54,"Gandhigram, Tirap, Arunachal Pradesh","Ghosh, 2008"
"Rhinolophidae","Rhinolophus affinis","27.5",89.5,"Gedu, Butan","Saha, 1979"
"Rhinolophidae","Rhinolophus affinis","26.75",89.35,"Hasimara, West Bengal, India","Wroughton, 1917a"
"Rhinolophidae","Rhinolophus affinis","12.91",92.68,"Interview Island, Andaman Islands, India","Sinha, 1973"
"Rhinolophidae","Rhinolophus affinis","29.28",79.34,"Kaladhungi, Uttarakhand, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","27.7",85.31,"Kathmandu, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","25.359",92.381,"Khonshong, Jaintia Hills, Meghalaya","Ghosh, 2008"
"Rhinolophidae","Rhinolophus affinis","25.225",91.669,"Laitkynsew, Meghalaya, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","25.453",91.754,"Mawphlang, Meghalaya, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","27.48",96.18,"Miao, Arunachal Pradesh, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","30.45",78.08,"Mussoorie, Uttar Pradesh, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","27.06",88.4,"Pashok, West Bengal, India","Agrawal et al., 1992"
"Rhinolophidae","Rhinolophus affinis","25.48",92.34,"Shangpung, Meghalaya, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","27.787",85.906,"Shebu, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","28.107",83.878,"Syangja, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","24.897",91.871,"Sylhet, Bangladesh","Sinha, 1973"
"Rhinolophidae","Rhinolophus affinis","25.359",92.183,"Syndai, Meghalaya, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","26.158",94.562,"Takubama (=Chakanama), Nagaland, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus affinis","28.742",79.174,"Maldevta, Garhwal, Uttarakhand","Chakravarty (2015)"
"Rhinolophidae","Rhinolophus affinis","30.454",78.1,"Woodstock dorms, Uttarakhand","Chakravarty (2015)"
"Rhinolophidae","Rhinolophus affinis","30.465",78.012,"Benog WLS, Uttarakhand","Chakravarty (2015)"
"Rhinolophidae","Rhinolophus affinis","30.543",78.184,"Devalsari, Uttarakhand","Chakravarty (2015)"
"Rhinolophidae","Rhinolophus affinis","30.404",78.233,"Dhanaulti, Uttarakhand","Chakravarty (2015)"
"Rhinolophidae","Rhinolophus affinis","30.455",78.102,"Landour, Dehradun, Uttarakhand","Chakravarty (2015)"
"Rhinolophidae","Rhinolophus affinis","27.742",85.252,"Balaju forest Reserve, Kathmandu, Nepal","Csorba et al 1999"
"Rhinolophidae","Rhinolophus affinis","27.75",84.45,"Chun Pahad 10km W of Dulegounda, Nepal","Csorba et al 1999"
"Rhinolophidae","Rhinolophus affinis","27.5",87.817,"Tawa, Nepal","Csorba et al 1999"
"Rhinolophidae","Rhinolophus affinis","27.66",85.291,"Chobar, Nepal","Csorba et al 1999"
"Rhinolophidae","Rhinolophus affinis","28.227",83.674,"Gupteshore cave, Kushma-Parbat district, Nepal","Sharma et al 2020"
"Rhinolophidae","Rhinolophus affinis","28.214",83.688,"Alpeshore cave, Kushma-Parbat district, Nepal","Sharma et al 2020"
