"Family","Species","Latitude","Longitude","Location","Source"
"Rhinolophidae","Rhinolophus lepidus","34.09",73.13,"Abbotabad, NWFP, Pakistan","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","20.75",73.683,"Ahwa, Dangs, Gujarat, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus lepidus","29.76",79.76,"Almora, Uttarakhand, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","12.618",92.834,"Andaman &  Nicobar Islands, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus lepidus","21.8",80.17,"Balaghat, Jabalpur, Madhya Pradesh","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","9.87",77.16,"Baliaparathodu, Palghat, Kerala, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus lepidus","22.25",88.416667,"Barkhalikapur, West Bengal, India","Topal, 1974"
"Rhinolophidae","Rhinolophus lepidus","28.01",73.31,"Bikaner, Rajasthan, India","Prakask, 1961"
"Rhinolophidae","Rhinolophus lepidus","18.116",83.001,"Borra Caves, Vishakapatnam, Andhra Pradesh, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus lepidus","21.14",85.8,"Daitari, Orissa, India","Topal, 1974"
"Rhinolophidae","Rhinolophus lepidus","27.03",88.26,"Darjeeling, West Bengal, India","Wroughton, 1917b"
"Rhinolophidae","Rhinolophus lepidus","35",68.483333,"Firindjal, Afghanistan","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","24.75",85.01,"Gaya, Bihar, India","Siddiqi, 1961"
"Rhinolophidae","Rhinolophus lepidus","14.24",74.64,"Gersoppa, Uttara Kanara district, Karnataka","Wroughton, 1913i"
"Rhinolophidae","Rhinolophus lepidus","24.64",77.31,"Guna, Madhya Pradesh, India","AMNH"
"Rhinolophidae","Rhinolophus lepidus","23.01",88.24,"Gurup, West Bengal, India","Lal & Biswas, 1985b"
"Rhinolophidae","Rhinolophus lepidus","17.36",73.73,"Helwak, Maharashtra, India","Wroughton, 1916aiii"
"Rhinolophidae","Rhinolophus lepidus","26.9",87.93,"Ilam District, Nepal","Mitchell, 1980"
"Rhinolophidae","Rhinolophus lepidus","23.16",79.93,"Jabalpur, Madhya Pradesh, India","Khajuria, 1980"
"Rhinolophidae","Rhinolophus lepidus","34.43",70.46,"Jalalabad, Afghanistan","Aellen, 1959"
"Rhinolophidae","Rhinolophus lepidus","26.28",73.02,"Jodhpur, Rajasthan, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","14.19",74.78,"Jog Falls, Karnataka, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","34.52",69.17,"Kabul, Afghanistan","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","19.2",72.9,"Kanheri Caves, Maharashtra, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","18.883333",73.15,"Karnala, Maharashtra, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","20.26",85.78,"Khandagiri, Orissa, india","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","18.05",74.01,"Khandala, Maharashtra, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","30.174",79.944,"Khati, Uttarakhand, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","18.77",73.33,"Khopoli, Pune district, Maharashtra","Tiwari et al., 1971"
"Rhinolophidae","Rhinolophus lepidus","18.283333",83.55,"Koduru, Andhra Pradesh, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","21.9",85.24,"Koira, Orissa, India","Das et al., 1993"
"Rhinolophidae","Rhinolophus lepidus","22.56",88.36,"Kolkata, West Bengal, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","25.57",91.3,"Konshnong, Meghalaya, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","31.959",77.111,"Kullu, Himachal Pradesh, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus lepidus","25.198",85.521,"Kumdi, Saranda Forest, Bihar, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus lepidus","21.334",78.742,"Lohogad, Maharashtra, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","18.74",73.4,"Lonavala, Pune district, Maharashtra","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","22.383",85.533,"Luia, Jharkhand, India","Wroughton, 1915cii"
"Rhinolophidae","Rhinolophus lepidus","22.885",92.586,"Lungsen, Mizoram","Ghosh, 2008"
"Rhinolophidae","Rhinolophus lepidus","26.354",86.067,"Madhubani, Bihar, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","17.92",73.65,"Mahabaleshwar, Satara Dist., Maharashtra","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","35.96",64.775,"Maimana, Afghanistan","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","31.709",76.933,"Mandi, Himachal Pradesh, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus lepidus","22.366667",75.4,"Mandu, Madhya Pradesh, India","Brosset, 1926b"
"Rhinolophidae","Rhinolophus lepidus","26.673",85.869,"Manharpur, Bihar, India","Sinha, 1986a"
"Rhinolophidae","Rhinolophus lepidus","22.43",87.321,"Midnapur, West Bengal, India","Siddiqi, 1961"
"Rhinolophidae","Rhinolophus lepidus","19.44",84.26,"Mohana, Orissa, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","25.23",86.28,"Munger, Bihar, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","30.45",78.08,"Mussoorie, Uttar Pradesh, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus lepidus","23.707",77.096,"Narsingarh, Madhya Pradesh, India","Wroughton, 1913ii"
