"Family","Species","Latitude","Longitude","Location","Source"
"Rhinolophidae","Rhinolophus pusillus","29.76",79.76,"Almora, Uttarakhand, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","27.95",84.42,"Bimalnager, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","25.3",91.7,"Cherrapunji, Meghalaya, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","29.764",79.453,"E. Kumaon, Uttarakhand, India","AMNH"
"Rhinolophidae","Rhinolophus pusillus","26.52",93.97,"Golaghat, Assam, India","Hinton & Lindsay, 1926"
"Rhinolophidae","Rhinolophus pusillus","27.7",85.31,"Kathmandu, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","16.166667",76.516667,"Lingsugur, Raichur district, Karnataka, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","12.25",76.016667,"Malabar coast, Kerala, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","27.48",96.18,"Miao, Arunachal Pradesh, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","30.45",78.08,"Mussoorie, Uttar Pradesh, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","27.77",85.2,"Nagerjunban, Nepal","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","26.97",88.56,"Nimbong, West Bengal, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","27.06",88.4,"Pashok, West Bengal, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","28.263",83.972,"Pokhra, Nepal","Kock, 1996"
"Rhinolophidae","Rhinolophus pusillus","22.978",87.846,"Sangser, West Bengal, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","25.48",92.34,"Shangpung, Meghalaya, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","25.49",90.24,"Siju Cave, West Garo Hills, Meghalaya","Sinha, 1973"
"Rhinolophidae","Rhinolophus pusillus","27.33",88.62,"Sikkim, India","Das et al., 1995"
"Rhinolophidae","Rhinolophus pusillus","27.752",85.419,"Soondarijal, Nepal","Sinha, 1973"
"Rhinolophidae","Rhinolophus pusillus","17.7",83.25,"Vishakhapatnam district, Andhra Pradesh, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus pusillus","30.344",77.984,"Bajawala, Dehradun, Uttarakhand","Chakravarty (2015)"
"Rhinolophidae","Rhinolophus pusillus","30.457",79.274,"Mandal, Chamoli, Uttarakhand","Chakravarty (2015)"
"Rhinolophidae","Rhinolophus pusillus","14.189",74.809,"Kargal Village, Shivamogga District, Karnataka","OU.NHM Collection"
"Rhinolophidae","Rhinolophus pusillus","28.133611",83.733611,"4 km E of Syangja, Syangja district, Nepal","Csorba et al 1999"
"Rhinolophidae","Rhinolophus pusillus","27.66",85.291,"Chobar, Khatmandu","Csorba et al 1999"
"Rhinolophidae","Rhinolophus pusillus","27.5",87.817,"Tawa, Taplejung district, Nepal","Csorba et al 1999"
"Rhinolophidae","Rhinolophus pusillus","28.383611",83.733611,"Annapurna Himal, 40 km NW of Pokhara, vicinity of Banthanti, Nepal","Csorba et al 1999"
