"Family","Species","Latitude","Longitude","Location","Source"
"Rhinolophidae","Rhinolophus rouxii","10.843528",76.653083,"Edamalakunubachi, Walyar Range, Pallakad Dist., Kerala","OU.NHM Collection"
"Rhinolophidae","Rhinolophus rouxii","10.525886",76.667426,"Near Nannard Forest IB, Neliumpathy, Kerala","OU.NHM Collection"
"Rhinolophidae","Rhinolophus rouxii","10.550241",76.27837,"Kerala Agriculture University, Thrissur Distt., Kerala","OU.NHM Collection"
"Rhinolophidae","Rhinolophus rouxii","14.1897",74.8138,"Karagal Village, Shivamogga district, Karnataka","Srinivaslu et al 2020"
"Rhinolophidae","Rhinolophus rouxii","6.583333",79.983333,"Aggalkaurba, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","7.25",80.533333,"Amanapoora Hill, Central Province, Sri Lanka","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","18.237",83.006,"Ananthagiri, Vishakapatnam, Andhra Pradesh","Ghosh, 2008"
"Rhinolophidae","Rhinolophus rouxii","6.483333",80.5,"Anasigalla, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","17.66",73.42,"Asgani, Maharashtra, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","14.678",78.832,"Balapalli Range, Andhra Pradesh, India","Sinha, 1973"
"Rhinolophidae","Rhinolophus rouxii","12.966667",77.566667,"Bangalore, Bangalore district, Karnataka","Gopalakrishna & Rao, 1977"
"Rhinolophidae","Rhinolophus rouxii","15.3",74.6,"Barchi, Karnataka, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","19.35",72.866667,"Bassein, Maharashtra, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","19.21",81.93,"Bastar, Chhattisgarh, India","Das, 1986a"
"Rhinolophidae","Rhinolophus rouxii","11.135",78.662,"Benhope, Tamil Nadu, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus rouxii","22.512",86.484,"Berbera, Orissa, India","Ghosh, 2008"
"Rhinolophidae","Rhinolophus rouxii","18.74",73.49,"Bhaja Caves, Maharashtra, India,","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","6.78",80.66,"Bogawantalawa, Central Province, Sri Lanka","Phillips, 1924"
"Rhinolophidae","Rhinolophus rouxii","15.436",74.078,"Bondla, Goa","Ghosh, 2008"
"Rhinolophidae","Rhinolophus rouxii","19.23",72.83,"Borivili, Maharashtra, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","14.99",74.05,"Canacona, Goa, India","Sinha, 1973"
"Rhinolophidae","Rhinolophus rouxii","15.397",74.338,"Castle Rock, Uttara Kanara, Karnataka","Ghosh, 2008"
"Rhinolophidae","Rhinolophus rouxii","11.34",76.79,"Coonoor, Tamil Nadu, India","Blanford, 1888-91"
"Rhinolophidae","Rhinolophus rouxii","14.59",78.96,"Cuddapah, Andhra Pradesh, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","6.56",80.2,"Dalkeith, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","6.95",81.15,"Dammeria, Uva Province, Sri Lanka","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","15.26",74.26,"Dandeli, Karnataka, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","15.13",74.93,"Devikop, Karnataka, India","Wroughton, 1912c"
"Rhinolophidae","Rhinolophus rouxii","10.01",76.3,"Ernakulam, Kerala, India","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","8.57",81.24,"Fort Frederick, Eastern Province, Sri Lanka","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","8.27",80.5,"Galkulama, North Central Province, Sri Lanka","Bates & Harrison, 1997"
"Rhinolophidae","Rhinolophus rouxii","6.71",81.03,"Gampaha, Uva Province, Sri Lanka","Bates & Harrison, 1997"
