"Family","Species","Latitude","Longitude","Location","Source"
"Rhinopomatidae","Rhinopoma hardwickii","27.18",78.02,"Agra, Uttar Pradesh, India","Brosset, 1962a"
"Rhinopomatidae","Rhinopoma hardwickii","23.03",72.58,"Ahmedabad, Gujarat, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","26.45",74.64,"Ajmer, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","16.03",78.704,"Akkamahadevibilamk, Nallamala Hills, Mehboobnagar District, andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","25.45",81.85,"Allahabad, Uttar Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","27.56",76.6,"Alwar, Rajasthan, India","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","34.317",72.845,"Amb, NWFP, Pakistan","Siddiqi, 1961"
"Rhinopomatidae","Rhinopoma hardwickii","22.57",72.93,"Anand, Gujarat, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","32.766",73.216,"Ara, Punjab, Pakistan","Hinton & Thomas, 1926"
"Rhinopomatidae","Rhinopoma hardwickii","28.552",77.149,"Aravalli Biodiversity Park, Vasant Kunj, New Delhi","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","21.47",76.29,"Asirgarh, Madhya Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","15.91",75.67,"Badami, Karnataka, India","Brosset, 1962a"
"Rhinopomatidae","Rhinopoma hardwickii","25.58",84.13,"Bhojpur, Bihar, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","20.27",85.84,"Bhubaneshwar, Orissa, India","AMNH"
"Rhinopomatidae","Rhinopoma hardwickii","23.26",69.66,"Bhuj, Gujarat, India","Wroughton 1912bii"
"Rhinopomatidae","Rhinopoma hardwickii","28.01",73.31,"Bikaner, Rajasthan, India","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","25.5",75.83,"Bundi, Rajasthan, India","Sinha, 1980"
"Rhinopomatidae","Rhinopoma hardwickii","34.786",71.083,"Cha Wki Sarkani, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","14.08",79.08,"Chintarjunapally, Palkonda hills, Andhra Pradesh, India","Chakraborty et al., 2004"
"Rhinopomatidae","Rhinopoma hardwickii","31.165",72.707,"Chitti Dil, Punjab, Pakistan","Lindsay, 1927iii"
"Rhinopomatidae","Rhinopoma hardwickii","28.302",74.967,"Churu, Rajasthan, India","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","24.2",72.74,"Danta, Gujarat, India","Ryley, 1914a"
"Rhinopomatidae","Rhinopoma hardwickii","12.13",78.16,"Dharmapuri, Tamil Nadu, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","23.849",73.694,"Dhungarpur, Rajasthan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","15.627",78.291,"Eduoorlagavi, Kurnool Dist., Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","16.53",79.4,"Ethipothala, Guntur, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","27.09",77.66,"Fatehpur Sikri, Uttar Pradesh, India","AMNH"
"Rhinopomatidae","Rhinopoma hardwickii","15.41",75.61,"Gadag, Karnataka, India","Wroughton, 1912c"
"Rhinopomatidae","Rhinopoma hardwickii","25.981",77.832,"Ghatigaon, Madhya Pradesh","Wroughton, 1916 a ii"
"Rhinopomatidae","Rhinopoma hardwickii","24.19",86.33,"Giridih, Jharkhand, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","14.55",74.31,"Gokarna, Karnataka, India","Bhatt & Sreenivasan, 1972"
"Rhinopomatidae","Rhinopoma hardwickii","26.22",78.17,"Gwalior, Madhya Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","28.613",77.255,"Humayun's Tomb, Delhi","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","17.36",78.47,"Hyderabad, Andhra Pradesh, India","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","18.786",78.914,"Jagtiyal, Karimnagar Dist., Andhra Pradesh","Chakraborty et al., 2004"
"Rhinopomatidae","Rhinopoma hardwickii","26.917",75.817,"Jaipur, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","34.43",70.46,"Jalalabad, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","19.126",78.996,"Jannaram, Adilabad Dist., Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","24.6",76.15,"Jhalawar, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","24.54",76.172,"Jhalrapatan, Rajasthan, India","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","28.12",75.39,"Jhunjhunu, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","21.51",70.45,"Junagadh, Gujarat, India","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","26.281",72.965,"Kailana Dam, Jodhpur, Rajasthan","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","11.75",78.79,"Kanavai Katha Bootham, Tamil Nadu, India","Usman, 1988"
"Rhinopomatidae","Rhinopoma hardwickii","24.89",67.02,"Karachi, Sind, Pakistan","AMNH"
"Rhinopomatidae","Rhinopoma hardwickii","19.083333",79.2,"Kawal Wildlife Sanctuary, Adilabad district, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","24.842",79.924,"Khajurao, Madhya Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","24.947",66.967,"Khandi, Karachi, Sindh, Pakistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","21.317",71.015,"Khodiyar Dam, Amreli, Gujarat, India","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","18.283333",83.55,"Koduru, Andhra Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","22.56",88.36,"Kolkata, West Bengal, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","26.216",68.334,"Landhi, Sind, Pakistan","Wroughton, 1916 ci"
"Rhinopomatidae","Rhinopoma hardwickii","28.6",77.21,"Lodhi Garden, Delhi","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","24.229",72.42,"Lunwa, Gujarat, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","9.91",78.12,"Madurai, Tamil Nadu, India","Kock & Felton, 1980"
"Rhinopomatidae","Rhinopoma hardwickii","22.366667",75.4,"Mandu, Madhya Pradesh, India","Brosset, 1962a"
"Rhinopomatidae","Rhinopoma hardwickii","16.439",80.579,"Mangalagiri, Krishna Dist., Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","8.171",77.503,"Marungoor, Tamil Nadu, India","Wroughton, 1921ii"
"Rhinopomatidae","Rhinopoma hardwickii","17.961",79.48,"Medikonda, Warangal, Andhra Pradesh","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","29.61",74.289,"Mohangarh, Rajasthan, India","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","26.228",78.223,"Morar, Madhya Pradesh, India","Lindsay, 1926b"
"Rhinopomatidae","Rhinopoma hardwickii","25.23",86.28,"Munger, Bihar, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","27.198",73.734,"Nagaur, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","26.92",70.9,"Nakh, Jaisalmer, Rajasthan, india","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","23.707",77.096,"Narsingarh, Madhya Pradesh, India","Wroughton, 1913ii"
"Rhinopomatidae","Rhinopoma hardwickii","26.303",74.733,"Nasirabad, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","28.616667",77.216667,"New Delhi, India","Brossett, 1962a"
"Rhinopomatidae","Rhinopoma hardwickii","15.812",78.069,"Nilabilam Cave, Kurnool Dist., Andhra Pradesh","Chakraborty et al., 2004"
"Rhinopomatidae","Rhinopoma hardwickii","34.692",70.732,"Nurgul, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","23.35",78.64,"Orcha, Madhya Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","14.08",79.08,"Palakonda Hills, Andhra Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","24.2",72.483333,"Palanpur, Gujarat, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","10.28",77.51,"Palni Hills, Tamil Nadu, India","Lindsay, 1927i"
"Rhinopomatidae","Rhinopoma hardwickii","10.753",78.54,"Panianmalai, Tamil Nadu, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","16",75.78,"Pattadkal, Karnataka, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","25.892",81.933,"Pratapgarh, Uttar Pradesh, India","Khajuria, 1953"
"Rhinopomatidae","Rhinopoma hardwickii","30.209",67.018,"Quetta Division, Balochistan, West Pakistan, Pakistan","AMNH"
"Rhinopomatidae","Rhinopoma hardwickii","28.536",77.167,"Qutub Minar, Delhi","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","18.012958",79.548503,"Ramappa, Warangal, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","32.99",73.564,"Rohtas, Punjab, Pakistan","Sinha, 1986"
"Rhinopomatidae","Rhinopoma hardwickii","32.542",71.926,"Sakesar, Punjab, Pakistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","23.482",77.74,"Sanchi, Madhya Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","24.945",84.015,"Sasaram, Bihar, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","17.47",78.53,"Secunderabad, Andhra Pradesh, India","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","29.88",71.29,"Shujabad, Punjab, Pakistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","14.468",78.974,"Siddavatam, Cuddapah, Andhra Pradesh","Chakraborty et al., 2004"
"Rhinopomatidae","Rhinopoma hardwickii","26.18",85.23,"Singar, Bihar, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","8.44",76.92,"Trivandrum, Kerala, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","28.536",77.255,"Tuglaqabad Fort, Delhi","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","20.11",84.37,"Udayagiri, Orissa, India","Das & Agrawal, 1973"
"Rhinopomatidae","Rhinopoma hardwickii","16.496",80.581,"Undavalli Caves, Guntur, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","21.074",73.17,"Vankaneer, Gujarat, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma hardwickii","22.6",72.88,"Vedtial, Gujarat, India","Brosset, 1962a"
"Rhinopomatidae","Rhinopoma hardwickii","10.514",76.641,"Vellamatum, Kerala, India","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma hardwickii","15.325",76.465,"Vijayanagar, Karnataka, India","Wroughton, 1913iii"
"Rhinopomatidae","Rhinopoma hardwickii","17.585",78.948,"Yadagirigutta, Andhra Pradesh","Srinivasulu, C. & B. Srinivasulu"
"Rhinopomatidae","Rhinopoma hardwickii","17.194",78.493,"Sreenagar, near Fabcity, Hyderabad, Rangareddy Dist., Telangana","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","16.497",80.582,"Undavalli caves, near Vijayawada, Krishna Dist., Andhra Pradesh","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","17.2",78.508,"Jinaiguda, Near Ravirala, Ranga Reddy Dist., Telangana","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","18.441",79.501,"Old Temple, Karimnagar Town, Karimnagar Dist., Telangana","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","18.206",78.987,"Ananthasagar, Medak Dist., Telangana","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","13.158",78.291,"Boda Banda, Hanumanhalli, Kolar Dist., Karnataka","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","13.169",77.222,"Shivagange, Bengaluru Rural Dist., Karnataka","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","17.382",78.401,"Golconda Fort (Rani Mahal) Hyderabad.","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","16.351",78.064,"Wanaparthy, Mahaboobnagar, Near Surya Chandra School in Hillock","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","20.583",79.506,"Mukta Bhai, Doma, Chimur, Chandrapur Dist., Maharastra","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","28.519",77.197,"Zafar Mahal, Mehrauli, Delhi","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","28.52",77.183,"Rajao Ki Baoli, Mehrauli, Delhi","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","17.2",78.508,"Laxmi Narshima Swamy Temple, Jinaiguda, Ranga Reddy Dist., Telangana","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","17.194",78.493,"Fabcity, Near Jinaiguda, Ranga Reddy Dist., Telangana","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","19.07",79.05,"Chintaguda, Jannaram, Adilabad Dist, Telangana","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","28.514",77.26,"Tuglukhabad Fort, Meena Bazar, New Delhi","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","27.662",75.362,"Ragunath Garh Fort, Sikar Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","26.297",73.018,"Mehrangarh Fort, Chowkhela Garden, Jodhpur Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","26.395",73.032,"Daijer Mataji Temple, Jodhpur Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","25.48",71.063,"Chothan, Purana Sunya Mandir, Barmer Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","26.916",70.914,"Patawa Haveli, Jaisalmer Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","26.916",70.914,"laxshminath Temple, Dungarpur Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","26.916",70.914,"Patawa Haveli, Jaisalmer Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","26.916",70.914,"Gajroopsagar Tunnel, Jaisalmer Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","27.992",73.335,"Nagnichi Ka Mandir, Cave, Bikaner Dist, Rajasthan","OU.NHM Collection"
"Rhinopomatidae","Rhinopoma hardwickii","27.992",73.335,"Mohatasarai Road, Bajri Mining Area, Bikaner Dist, Rajasthan","OU.NHM Collection"
