"Family","Species","Latitude","Longitude","Location","Source"
"Rhinopomatidae","Rhinopoma microphyllum","26.45",74.64,"Ajmer, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","25.968",76.088,"Aligarh, Rajasthan, India","Agarwal & Gupta, 1982"
"Rhinopomatidae","Rhinopoma microphyllum","34.317",72.845,"Amb, NWFP, Pakistan","Hill, 1977"
"Rhinopomatidae","Rhinopoma microphyllum","22.57",72.93,"Anand, Gujarat, India","Brosset, 1962a"
"Rhinopomatidae","Rhinopoma microphyllum","32.766",73.216,"Ara, Punjab, Pakistan","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma microphyllum","21.47",76.29,"Asirgarh, Madhya Pradesh, India","Sandhu, 1988b"
"Rhinopomatidae","Rhinopoma microphyllum","25.75",71.38,"Barmer, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","22.3",73.2,"Baroda, Gujarat, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","19.746",75.717,"Bhamer, Maharashtra, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","21.724",73.001,"Bharauch, Gujarat, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","20.27",85.84,"Bhubaneshwar, Orissa, India","Das et al., 1993"
"Rhinopomatidae","Rhinopoma microphyllum","23.26",69.66,"Bhuj, Gujarat, India","Wroughton, 1912bii"
"Rhinopomatidae","Rhinopoma microphyllum","18.97",72.82,"Bombay, Maharashtra, India","Hill, 1977"
"Rhinopomatidae","Rhinopoma microphyllum","25.5",75.83,"Bundi, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","21.29",76.23,"Burhanpur, Madhya Pradesh, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","34.786",71.083,"Cha Wki Sarkani, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","34.121",68.425,"Chak Naur, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","35.173",63.193,"Chamchir Cave, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","25.13",82.9,"Chunar, Uttar Pradesh, India","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma microphyllum","25.668",78.455,"Datia, Madhya Pradesh","AMNH"
"Rhinopomatidae","Rhinopoma microphyllum","32.15",63.43,"Dilaram, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","23.83",73.71,"Dungarpur, Rajasthan, India","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","27.35",68.52,"Gambat, Sind, Pakistan","Wroughton, 1916 ci"
"Rhinopomatidae","Rhinopoma microphyllum","31.823",64.564,"Guerechk, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","32.573",74.078,"Gujrat, Punjab, Pakistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","26.22",78.17,"Gwalior, Madhya Pradesh, India","Srivatsava, 1952"
"Rhinopomatidae","Rhinopoma microphyllum","28.613",77.255,"Humayun's Tomb, Delhi","Ghosh, 2008"
"Rhinopomatidae","Rhinopoma microphyllum","25.38",68.366,"Hyderabad, Sind, Pakistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","34.43",70.46,"Jalalabad, Afghanistan","Bates & Harrison, 1997"
"Rhinopomatidae","Rhinopoma microphyllum","24.6",76.15,"Jhalawar, Rajasthan, India","Bates & Harrison, 1997"
