"Family","Species","Latitude","Longitude","Location","Source"
"Pteropodidae","Rousettus leschenaultii","8.8586",77.2175,"Shendurney WLS and surrounding unprotected areas.","Deshpande (2012)"
"Pteropodidae","Rousettus leschenaultii","9.956",78.018,"Biodiversity Garden, Madurai Kamaraj University, Madurai, Tamil Nadu","Rathinakumar et al. (2016)"
"Pteropodidae","Rousettus leschenaultii","17.984",74.436,"Phaltan, Maharashtra","Gaikwad et al. (2012)"
"Pteropodidae","Rousettus leschenaultii","17.511",75.451,"Mangalvedha, Maharashtra","Gaikwad et al. (2012)"
"Pteropodidae","Rousettus leschenaultii","18.882",72.922,"Kegaon road, Maharashtra","Gaikwad et al. (2012)"
"Pteropodidae","Rousettus leschenaultii","17.817",76.287,"Naldurg Fort, Maharashtra","Gaikwad et al. (2012)"
"Pteropodidae","Rousettus leschenaultii","18.27",75.454,"Paranda Fort, Maharashtra","Gaikwad et al. (2012)"
"Pteropodidae","Rousettus leschenaultii","34.503",71.904,"Heroshah, Malakand, Pakistan","Salim and Mahmood-ul-Hassan (2014)"
"Pteropodidae","Rousettus leschenaultii","17.931",73.649,"Mahabaleswar, Maharashtra","Mourya et al. (2013)"
"Pteropodidae","Rousettus leschenaultii","20.29522",85.824787,"Bhubaneswar city","Debata et al. (2018)"
"Pteropodidae","Rousettus leschenaultii","22.85",72.77,"Ahmadabad, Gujarat","Bates & Harrison, 1997"
"Pteropodidae","Rousettus leschenaultii","23.164",92.937,"Aiback, Aizwal, Mizoram, India","Ghosh, 2005"
"Pteropodidae","Rousettus leschenaultii","26.194",92.944,"Alabari, Barpeta Dist., Assam, India","Ghosh, 2005"
"Pteropodidae","Rousettus leschenaultii","18.64",72.87,"Alibag, Maharashtra","Bates & Harrison, 1997"
"Pteropodidae","Rousettus leschenaultii","29.76",79.76,"Almora, Uttarakhand, India","Bates & Harrison, 1997"
"Pteropodidae","Rousettus leschenaultii","18.286",82.961,"Ananthagiri, Vishakapatnam Dist., Andhra Pradesh","Ghosh, 2005"
"Pteropodidae","Rousettus leschenaultii","8.34",80.38,"Anuradhapura, North Central Province, Sri Lanka","Bates & Harrison, 1997"
"Pteropodidae","Rousettus leschenaultii","19.88",75.31,"Aurangabad caves, Maharashtra, India","Bates & Harrison, 1997"
"Pteropodidae","Rousettus leschenaultii","24.75",84.36,"Aurangabad, Bihar, India","Bates & Harrison, 1997"
