Family,Species,Latitude,Longitude,Location,Source
Vespertilionidae,Scotophilus heathii,23.03,72.58,"Ahmedabad, Gujarat, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,20.53,75.75,"Ajanta, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,26.45,74.64,"Ajmer, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,25.45,81.85,"Allahabad, Uttar Pradesh, India","Bhatnagar & Srivastava, 1974"
Vespertilionidae,Scotophilus heathii,17.83,80.48,"Allapalli, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,27.56,76.6,"Alwar, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,31.63,74.87,"Amritsar, Punjab, India","Ghosh, 2008"
Vespertilionidae,Scotophilus heathii,22.57,72.93,"Anand, Gujarat, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,19.11,72.86,"Andheri, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,23.966,78.42,"Bajranggarh Ft., Raja Mah, Guva, Madhya Pradesh",AMNH M-244943
Vespertilionidae,Scotophilus heathii,14.678,78.832,"Balapalli, Andhra Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,21.49,86.93,"Baleshwar, Orissa, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,19.06,72.83,"Bandra, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,12.966667,77.566667,"Bangalore, Bangalore district, Karnataka","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,28.14,81.77,"Banke, Nepal","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,23.55,74.45,"Banswara, Rajasthan, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,23.23,87.86,"Barddhaman, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,28.36,79.43,"Bareilly, Uttar Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,15.85,74.5,"Belgaum, Karnataka, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus heathii,6.42,80,"Bentota, Southern Province, Sri Lanka","Bates & Harrison, 1997"
