Family,Species,Latitude,Longitude,Location,Source
Vespertilionidae,Scotophilus kuhlii,23.68,76.05,"Agar Malwa, Madhya Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,23.5,91.5,"Agartala, Tripura, India","Agrawal & Bhattacharyya, 1977"
Vespertilionidae,Scotophilus kuhlii,20.53,75.75,"Ajanta, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,25.45,81.85,"Allahabad, Uttar Pradesh, India","Ghosh, 2008"
Vespertilionidae,Scotophilus kuhlii,23.93,91.85,"Ambasa, Tripura, India","Ghosh, 2008"
Vespertilionidae,Scotophilus kuhlii,8.34,80.38,"Anuradhapura, North Central Province, Sri Lanka","Wroughton, 1915ci"
Vespertilionidae,Scotophilus kuhlii,15.433333,74.5,"Astoli, Karnataka, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,19.88,75.31,"Aurangabad, Maharashtra, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,14.678,78.832,"Balapalli, Andhra Pradesh, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,21.49,86.93,"Baleshwar, Orissa, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,12.966667,77.566667,"Bangalore, Bangalore district, Karnataka","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,23.25,87.07,"Bankura, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,23.23,87.86,"Barddhaman, West Bengal, India","Bates & Harrison, 1997"
Vespertilionidae,Scotophilus kuhlii,15.85,74.5,"Belgaum, Karnataka, India","Gopalakrishna, 1969"
Vespertilionidae,Scotophilus kuhlii,25.24,86.99,"Bhagalpur, Bihar, India","Ghosh, 2008"
Vespertilionidae,Scotophilus kuhlii,27.21,77.48,"Bharatpur, Rajasthan, India","Advani, 1982b"
Vespertilionidae,Scotophilus kuhlii,31.17,72.709,"Bhattu Hissar, Punjab, Pakistan","Hinton & Thomas, 1926"
