"Family","Species","Latitude","Longitude","Location","Source"
"Vespertilionidae","Scotozous dormeri","20.53",75.75,"Ajanta, Maharashtra, India","Wroughton, 1912a"
"Vespertilionidae","Scotozous dormeri","26.45",74.64,"Ajmer, Rajasthan, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","27.56",76.6,"Alwar, Rajasthan, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","30.34",76.83,"Ambala, Haryana, India","Santosh & Gupta, 1984b"
"Vespertilionidae","Scotozous dormeri","22.57",72.93,"Anand, Gujarat, India","Brosset, 1962c"
"Vespertilionidae","Scotozous dormeri","14.678",78.832,"Balapalli, Andhra Pradesh, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","23.55",74.45,"Banswara, Rajasthan, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","23.23",87.86,"Barddhaman, West Bengal, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","19.233333",73.033333,"Bassina Taluka, Maharashtra, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","15.13",76.91,"Bellary Hills, Karnataka, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","27.21",77.48,"Bharatpur, Rajasthan, India","Advani, 1982b"
"Vespertilionidae","Scotozous dormeri","25.58",84.13,"Bhojpur, Bihar, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","23.25",77.41,"Bhopal, Madhya Pradesh, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","23.26",69.66,"Bhuj, Gujarat, India","Wroughton, 1912bii"
"Vespertilionidae","Scotozous dormeri","26.75",89.75,"Bhutan Duars, Bhutan","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","24",87.58,"Birbhum, West Bengal, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","20.71",83.48,"Bolangir, Orissa, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","25.5",75.83,"Bundi, Rajasthan, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","26.84",84.68,"Champaran, Bihar, India","Sinha, 1986a"
"Vespertilionidae","Scotozous dormeri","20",80,"Chanda, Maharashtra, India","Blanford, 1888-91"
"Vespertilionidae","Scotozous dormeri","21.4",77.31,"Chikalda, Maharashtra, India","Wroughton, 1912bi"
"Vespertilionidae","Scotozous dormeri","15.46",75.01,"Dharwar, Karnataka, India","Brosset, 1962c"
"Vespertilionidae","Scotozous dormeri","25.63",88.63,"Dinajpur, Bangladesh","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","23.83",73.71,"Dungarpur, Rajasthan, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","20.58",75.72,"Fardapur, Maharashtra, India","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","22.25",71.19,"Fata Talab, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","30.91",74.59,"Ferozepore, Punjab, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","15.41",75.61,"Gadag, Karnataka, India","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","19.31",84.78,"Ganjam, Orissa, India","Das et al., 1993"
"Vespertilionidae","Scotozous dormeri","29.95",78.74,"Garhwal, Uttarakhand, India","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","24.75",85.01,"Gaya, Bihar, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","24.19",86.33,"Giridih, Jharkhand, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","26.16",91.71,"Guwahati, Assam, India","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","15.31",75.71,"Hawsbhavi, Karnataka, India","Wroughton, 1912c"
"Vespertilionidae","Scotozous dormeri","23.98",85.35,"Hazaribagh, Jharkhand, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","22.75",77.71,"Hoshangabad, Madhya Pradesh, India","Brosset, 1962c"
"Vespertilionidae","Scotozous dormeri","22.75",88.75,"Hugli, West Bengal, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","23.16",79.93,"Jabalpur, Madhya Pradesh, India","Topal, 1974"
"Vespertilionidae","Scotozous dormeri","26.5",88.5,"Jalpaiguri, Jalpaiguri district, West Bengal","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","32.89",74.96,"Jhajjar Kotli, Jammu & Kashmir, India","Chakraborty, 1983"
"Vespertilionidae","Scotozous dormeri","24.6",76.15,"Jhalawar, Rajasthan, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","26.28",73.02,"Jodhpur, Rajasthan, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","21.51",70.45,"Junagadh, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","21.3",70.25,"Keshod, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","25.238",82.513,"Khamaria, Uttar Pradesh, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","21.9",85.24,"Koira, Orissa, India","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","22.56",88.36,"Kolkata, West Bengal, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","25.17",75.83,"Kota, Rajasthan, India","Advani, 1981c"
"Vespertilionidae","Scotozous dormeri","24.229",72.42,"Lunwa, Gujarat, India","Ryley, 1914a"
"Vespertilionidae","Scotozous dormeri","9.91",78.12,"Madurai, Tamil Nadu, India","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","25",88.15,"Maldah, West Bengal, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","22.833",69.366,"Mandvi, Gujarat, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","15.3",73.95,"Margao, Goa, India","Agrawal, 1973"
"Vespertilionidae","Scotozous dormeri","22.5",87.5,"Medinipur, West Bengal, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","30.812",75.17,"Moga, Punjab, India","Gupta & Mehta, 1972"
"Vespertilionidae","Scotozous dormeri","8.74",77.52,"Mukkudal, Tamil Nadu, India","Molur et al., 2002"
"Vespertilionidae","Scotozous dormeri","18.97",72.82,"Mumbai, Maharashtra, India","Brosset, 1962c"
"Vespertilionidae","Scotozous dormeri","23.981",78.48,"Mundra, Madhya Pradesh, India","Bates & Harrison, 1997"
"Vespertilionidae","Scotozous dormeri","8.72",77.83,"Murappanadu, Tamil Nadu, India","Molur et al., 2002"
