"Family","Species","Latitude","Longitude","Location","Source"
"Molossidae","Tadarida aegyptiaca","26.45",74.64,"Ajmer, Rajasthan, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","27.56",76.6,"Alwar, Rajasthan, India","AMNH M-236219"
"Molossidae","Tadarida aegyptiaca","22.57",72.93,"Anand, Gujarat, India","Brosset, 1962c"
"Molossidae","Tadarida aegyptiaca","26.02",76.49,"Anatpura, Ranthombhor Tiger Reserve, India","Ghosh, 2008"
"Molossidae","Tadarida aegyptiaca","21.47",76.29,"Asirgarh, Madhya Pradesh, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","19.88",75.31,"Aurangabad, Maharashtra, India","Brosset, 1962c"
"Molossidae","Tadarida aegyptiaca","23.55",74.45,"Banswara, Rajasthan, India","Advani, 1982b"
"Molossidae","Tadarida aegyptiaca","23.26",69.66,"Bhuj, Gujarat, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","26.44",67.71,"Bubak, Sind, Pakistan","Siddiqi, 1961"
"Molossidae","Tadarida aegyptiaca","25.5",75.83,"Bundi, Rajasthan, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","21.29",76.23,"Burhanpur, Madhya Pradesh, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","15.46",75.01,"Dharwar, Karnataka, India","Molur et al., 2002"
"Molossidae","Tadarida aegyptiaca","23.83",73.71,"Dungarpur, Rajasthan, India","Sinha, 1980"
"Molossidae","Tadarida aegyptiaca","6.95",81.27,"Galapitakande, Uva Province, Sri Lanka","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","17.36",78.47,"Hyderabad,  Andhra Pradesh, India","Molur et al., 2002"
"Molossidae","Tadarida aegyptiaca","22.88",84.14,"Jashpur, Madhya Pradesh, India","Sinha, 1986"
"Molossidae","Tadarida aegyptiaca","24.6",76.15,"Jhalawar, Rajasthan, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","26.28",73.02,"Jodhpur, Rajasthan, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","34.52",69.17,"Kabul, Afghanistan","Molur et al., 2002"
"Molossidae","Tadarida aegyptiaca","28.42",69.57,"Kashmor, Sind, Pakistan","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","21.816",76.383,"Khandwar, Madhya Pradesh, India","Kashyap, 1980"
"Molossidae","Tadarida aegyptiaca","13.133",78.133,"Kolar, Karnataka, India","Molur et al., 2002"
"Molossidae","Tadarida aegyptiaca","22.56",88.36,"Kolkata, West Bengal, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","25.17",75.83,"Kota, Rajasthan, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","12.89",79.31,"Krishnapuram, Tamil Nadu, India","Molur et al., 2002"
"Molossidae","Tadarida aegyptiaca","26.216",68.334,"Landhi, Sind, Pakistan","Roberts, 1977"
"Molossidae","Tadarida aegyptiaca","9.91",78.12,"Madurai, Tamil Nadu, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","12.25",76.016667,"Malabar, Kerala, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","22.366667",75.4,"Mandu, Madhya Pradesh, India","Brosset, 1962c"
"Molossidae","Tadarida aegyptiaca","24.592",72.715,"Mount Abu, Rajasthan, India","Ghosh, 2008"
"Molossidae","Tadarida aegyptiaca","7.533333",80.7,"Mousakande, Central Province, Sri Lanka","Phillips, 1932c"
"Molossidae","Tadarida aegyptiaca","6.926",81.123,"Namunukula, Uva Province, Sri Lanka","Phillips, 1980"
"Molossidae","Tadarida aegyptiaca","18.47",73.79,"Pune, Maharashtra, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","29.1",70.321,"Rajanpur, Punjab, Pakistan","Blanford, 1888-91"
"Molossidae","Tadarida aegyptiaca","22.28",70.8,"Rajkot, Gujarat, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","26.02",76.344,"Sawai Madhopur, Rajasthan, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","24.886",72.847,"Sirohi, Rajasthan, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","27.69",68.848,"Sukkur, Sind, Pakistan","Wroughton, 1916ci"
"Molossidae","Tadarida aegyptiaca","26.164",75.788,"Tonk, Rajasthan, India","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","27.449",69.609,"Tori, Sind, Pakistan","Bates & Harrison, 1997"
"Molossidae","Tadarida aegyptiaca","21.074",73.17,"Vankaneer, Gujarat, India","Ryley, 1913bi"
"Molossidae","Tadarida aegyptiaca","16.2",77.349,"Raichur Fort, Raichur, Raichur Dist., Karnataka","OU.NHM Collection"
"Molossidae","Tadarida aegyptiaca","15.317",76.464,"Shiva Temple, Hampi, Bellary Dist., Karnataka","OU.NHM Collection"
"Molossidae","Tadarida aegyptiaca","17.382",78.401,"Golconda Fort, Hyderabad Dist., Telangana","OU.NHM Collection"
"Molossidae","Tadarida aegyptiaca","19.917",75.311,"Aurangabad caves 5,7 Aurangabad Dist,  Maharashtra","OU.NHM Collection"
"Molossidae","Tadarida aegyptiaca","14.28",77.444,"Honnavara, Karnataka","Deshpande & Kelkar (2015)"
"Molossidae","Tadarida aegyptiaca","12.97",77.569,"Bengaluru, Karnataka","Deshpande & Kelkar (2015)"
"Molossidae","Tadarida aegyptiaca","18.52",73.857,"Poona, Maharashtra","Deshpande & Kelkar (2015)"
"Molossidae","Tadarida aegyptiaca","24.594",73.642,"Sajjangarg Wildlife Sanctuary, Udaipur, Rajasthan (India)","Sharma et al. (2007)"
"Molossidae","Tadarida aegyptiaca","8.8586",77.2175,"Shendurney WLS and surrounding unprotected areas.","Deshpande (2012)"
"Molossidae","Tadarida aegyptiaca","16.217133",77.342911,"Raichur District, Karnataka","Shah et al. (2014)"
"Molossidae","Tadarida aegyptiaca","15.148926",76.930647,"Ballari, Karnataka","Shah et al. (2014)"
"Molossidae","Tadarida aegyptiaca","16.217133",77.342911,"Raichur District, Karnataka","Shah et al. (2014)"
"Molossidae","Tadarida aegyptiaca","15.148926",76.930647,"Ballari, Karnataka","Shah et al. (2014)"
"Molossidae","Tadarida aegyptiaca","20.793",78.139,"Dhamangaon,  Maharashtra","Gaikwad et al. (2012)"
"Molossidae","Tadarida aegyptiaca","17.659",75.906,"Solapur, Maharashtra","Gaikwad et al. (2012)"
"Molossidae","Tadarida aegyptiaca","18.458",75.703,"Kunthalgiri,  Maharashtra","Gaikwad et al. (2012)"
"Molossidae","Tadarida aegyptiaca","18.206",76.178,"Osmanabad,  Maharashtra","Gaikwad et al. (2012)"
"Molossidae","Tadarida aegyptiaca","25.508678",65.518309,"Hingol National Park, Balochistan, Pakistan","GBIF 2022"
"Molossidae","Tadarida aegyptiaca","17.69",74,"Satara, Maharashtra","GBIF 2022"
"Molossidae","Tadarida aegyptiaca","17.419481",78.526648,"Arts college, Osmania University, Hyderabad, Telangana state","Srinivasulu pers obs"
"Molossidae","Tadarida aegyptiaca","18.5011",73.5138,"Mulshi, Maharashtra ","Sakia 2018"
"Molossidae","Tadarida aegyptiaca","18.362",73.754,"Sinhagad, Maharashtra","Sakia 2018"
"Molossidae","Tadarida aegyptiaca","10.4639",76.203,"Venginissery, Kerala","Sakia 2018"
"Molossidae","Tadarida aegyptiaca","10.01",76.3,"Ernakulam, Kerala","Sakia 2018"
"Molossidae","Tadarida aegyptiaca","26.091251",76.546552,"Anantpura near Ranthambore Tiger Reserve, Rajasthan","Ghosh, 2008"
"Molossidae","Tadarida aegyptiaca","18.526271",73.871343,"Sassoon Hospital, Pune, Maharashtra","Das 2003"
