"Family","Species","Latitude","Longitude","Location","Source"
"Emballonuridae","Taphozous longimanus","23.5",91.5,"Agartala, Tripura, India","Agrawal & Bhattacharyya, 1977"
"Emballonuridae","Taphozous longimanus","23.03",72.58,"Ahmedabad, Gujarat, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","19.08",74.73,"Ahmednagar, Maharashtra, India","Molur et al., 2002"
"Emballonuridae","Taphozous longimanus","20.93",77.75,"Amravathi, Maharashtra, India","Gopalakrishna, 1954"
"Emballonuridae","Taphozous longimanus","22.57",72.93,"Anand, Gujarat, India","Brosset, 1962c"
"Emballonuridae","Taphozous longimanus","6.483333",80.5,"Anasigala, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","19.45",72.74,"Arnala, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","21.8",80.17,"Balaghat, Jabalpur, Madhya Pradesh","Molur et al., 2002"
"Emballonuridae","Taphozous longimanus","14.678",78.832,"Balapalli Range, Andhra Pradesh, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","14.678",78.832,"Balapalli Range, Andhra Pradesh, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","19.06",72.83,"Bandra, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","23.23",87.86,"Barddhaman, West Bengal, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","22.3",73.2,"Baroda, Gujarat, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","25.42",86.13,"Begusarai, Bihar, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","25.58",84.13,"Bhojpur, Bihar, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","7.15",81.22,"Bibile, Uva Province, Sri Lanka","Phillips, 1980"
"Emballonuridae","Taphozous longimanus","25.13",81.44,"Binaganj, Madhya Pradesh, India","Lindsay, 1926b"
"Emballonuridae","Taphozous longimanus","21.7",72.96,"Broach, Gujarat, India","Sinha, 1981a"
"Emballonuridae","Taphozous longimanus","26.84",84.68,"Champaran, Bihar, India","Sinha, 1986a"
"Emballonuridae","Taphozous longimanus","20",80,"Chanda, Maharashtra, India","Wroughton, 1913ii"
"Emballonuridae","Taphozous longimanus","25.78",84.72,"Chapra, Bihar, India","Sinha, 1980"
"Emballonuridae","Taphozous longimanus","8.66",80.3,"Cheddikulam, Northern Province, Sri Lanka","Phillips, 1980"
"Emballonuridae","Taphozous longimanus","6.93",79.84,"Colombo, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","9.73",77.3,"Cumbum, Tamil Nadu, India","Wroughton, 1921i"
"Emballonuridae","Taphozous longimanus","26.14",85.85,"Darbhanga, Bihar, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous longimanus","27.03",88.26,"Darjeeling, West Bengal, India","Bates & Harrison, 1997"
