"Family","Species","Latitude","Longitude","Location","Source"
"Emballonuridae","Taphozous melanopogon","20.53",75.75,"Ajanta, Maharashtra, India","Wroughton, 1912a"
"Emballonuridae","Taphozous melanopogon","18.64",72.87,"Alibaug, Maharashtra, India","Brosset, 1962a"
"Emballonuridae","Taphozous melanopogon","21.47",76.29,"Asirgarh, Madhya Pradesh, India","Wroughton, 1912biii"
"Emballonuridae","Taphozous melanopogon","19.88",75.31,"Aurangabad, Maharashtra, India","Rat-Chaudhuri et al., 1971"
"Emballonuridae","Taphozous melanopogon","15.91",75.67,"Badami, Karnataka, India","Brosset, 1962a"
"Emballonuridae","Taphozous melanopogon","14.678",78.832,"Balapalli Range, Andhra Pradesh, India","Sinha, 1986a"
"Emballonuridae","Taphozous melanopogon","21.91",77.89,"Betul, Madhya Pradesh, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","10.552",76.135,"Bheemanagari, Kerala, India","Wroughton, 1921ii"
"Emballonuridae","Taphozous melanopogon","20.27",85.84,"Bhubaneshwar, Orissa, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","6.68",80.16,"Bulathsinhala, Western Province, Sri Lanka","AMNH"
"Emballonuridae","Taphozous melanopogon","6.81",80.34,"Bulath-Sinhalapitiya, Sabaragamuwa, Sri Lanka","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","21.29",76.23,"Burhanpur, Madhya Pradesh, India","Badwaik, 1988"
"Emballonuridae","Taphozous melanopogon","8.06",77.56,"Cape Comorin, Tamil Nadu, India","Wroughton, 1921ii"
"Emballonuridae","Taphozous melanopogon","22.06",78.93,"Chhindwara, Madhya Pradesh, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","21.4",77.31,"Chikalda, Maharashtra, India","Wroughton, 1912bi"
"Emballonuridae","Taphozous melanopogon","15.27",73.91,"Colva, Goa, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","15.283333",76.433333,"Coringa Wildlife Sanctuary, Andhra Pradesh, India","Srinivasulu et al., 1998"
"Emballonuridae","Taphozous melanopogon","20.46",85.88,"Cuttack, Orissa, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","19.93",75.23,"Daulatabad, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","20.02",75.16,"Ellora, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","10.01",76.3,"Ernakulam, Kerala, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","8.23",80.71,"Galapitigala, North Central Province, Sri Lanka","Phillips, 1980"
"Emballonuridae","Taphozous melanopogon","21.88",73.65,"Gurudeshwar, Gujarat, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","17.36",73.73,"Helwak, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","22.75",77.71,"Hoshangabad, Madhya Pradesh, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","17.36",78.47,"Hyderabad, Andhra Pradesh, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","23.16",79.93,"Jabalpur, Madhya Pradesh, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","22.88",84.14,"Jashpur, Chhattisgarh, India","Sinha, 1986a"
"Emballonuridae","Taphozous melanopogon","14.19",74.78,"Jog, Karnataka, India","Wroughton, 1913i"
"Emballonuridae","Taphozous melanopogon","22.316667",80.616667,"Kanha National Park, Madhya Pradesh, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","19.2",72.9,"Kanheri Caves, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","19.083333",79.2,"Kawal Wildlife Sanctuary, Adilabad district, Andhra Pradesh","Srinivasulu et al pers obs"
"Emballonuridae","Taphozous melanopogon","9.866667",78.15,"Keela kuyil Kudu, Tamil Nadu, India","Usman, 1988"
"Emballonuridae","Taphozous melanopogon","9.939",76.259,"Kochi, Kerala, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","19.89",86.09,"Konark, Orissa, India","Das et al., 1993"
"Emballonuridae","Taphozous melanopogon","14.264",75.058,"Kyasanur, Karnataka, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","22.973",78.656,"Lamataghat, Madhya Pradesh, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","28.6",77.21,"Lodhi Garden, Delhi","Srinivasulu et al pers obs"
"Emballonuridae","Taphozous melanopogon","9.91",78.12,"Madurai, Tamil Nadu, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","11.833333",92.833333,"Mandapahar, Andaman islands, India","Hill, 1967"
"Emballonuridae","Taphozous melanopogon","22.59",80.37,"Mandla, Madhya Pradesh, India","Khajuria & Ghosal, 1981"
"Emballonuridae","Taphozous melanopogon","22.366667",75.4,"Mandu, Madhya Pradesh, India","Brosset, 1962a"
"Emballonuridae","Taphozous melanopogon","6.522",80.114,"Matugama, Western Province, Sri Lanka","Phillips, 1980"
"Emballonuridae","Taphozous melanopogon","23.981",78.48,"Mundra, Madhya Pradesh, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","8.17",77.43,"Nagarcoil, Tamil Nadu, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","21.07",79.27,"Nagpur, Maharashtra, India","Naidu & Thakare, 1980"
"Emballonuridae","Taphozous melanopogon","19.746",75.717,"Narnala, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","7.907",80.14,"Narramale, North Western Province, Sri Lanka","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","23.707",77.096,"Narsingarh, Madhya Pradesh, India","Wroughton, 1913ii"
"Emballonuridae","Taphozous melanopogon","6.81",80.344,"near Bulikolapitiya, Sabaragamuwa, Sri Lanka","Phillips, 1980"
"Emballonuridae","Taphozous melanopogon","23.35",78.64,"Orcha, Madhya Pradesh, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","6.81",80.344,"Paiheirgala, Sabaragamuwa, Sri Lanka","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","6.55",79.983333,"Paiyagala, Western Province, Sri Lanka","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","8.72",77.73,"Palayamkoltai, Tamil Nadu, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","25.61",85.14,"Patna, Bihar, India","Sinha, 1981b"
"Emballonuridae","Taphozous melanopogon","16",75.78,"Pattadkal, Karnataka, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","20.316667",75.166667,"Pittalkora, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","8.33",80.5,"Rajagivilena, North Central Province, Sri Lanka","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","16.656",73.517,"Rajapur, Maharashtra, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","19.546",75.717,"Raysen, Maharashtra, India","Sapkal & Khamre, 1984"
"Emballonuridae","Taphozous melanopogon","22.978",78.662,"Richhai, Madhya Pradesh, India","Khajuria, 1979a"
"Emballonuridae","Taphozous melanopogon","22.431",78.222,"Satpura National Park, Madhya Pradesh, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","17.47",78.53,"Secundrabad, Andhra Pradesh, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","11.135",78.662,"Shendagaramanallur, Tamil Nadu, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","7.95",80.75,"Sigiriya, Central Province, Sri Lanka","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","8.62",77.93,"Sri Vaikundam, Tamil Nadu, India","Molur et al., 2002"
"Emballonuridae","Taphozous melanopogon","8.15",77.46,"Suchindrum, Tamil Nadu, India","Bates & Harrison, 1997"
"Emballonuridae","Taphozous melanopogon","11.74",92.658,"Taramangalam, Andaman & Nicobar islands, India","Molur et al., 2002"
