Family,Species,Latitude,Longitude,Location,Source
Emballonuridae,Taphozous nudiventris,27.18,78.02,"Agra, Uttar Pradesh, India","Brosset, 1962a"
Emballonuridae,Taphozous nudiventris,23.03,72.58,"Ahmedabad, Gujarat, India","Bates & Harrison, 1997"
Emballonuridae,Taphozous nudiventris,15.98,75.86,"Aihole, Karnataka, India","Molur et al., 2002"
Emballonuridae,Taphozous nudiventris,20.53,75.75,"Ajanta, Maharashtra, India","Wroughton, 1912a"
Emballonuridae,Taphozous nudiventris,26.45,74.64,"Ajmer, Rajasthan, India","Bates & Harrison, 1997"
Emballonuridae,Taphozous nudiventris,26.9,70.83,"Amarsagar village, Jaisalmer, Rajasthan, India","Molur et al., 2002"
Emballonuridae,Taphozous nudiventris,22.57,72.93,"Anand, Gujarat, India","Bates & Harrison, 1997"
Emballonuridae,Taphozous nudiventris,26.91,70.91,"Annapurna Bandav, Rajmahal palace, Sonar fort, Jaisalmer, Rajasthan","Molur et al., 2002"
Emballonuridae,Taphozous nudiventris,19.88,75.31,"Aurangabad, Maharashtra, India","Brosset, 1962a"
Emballonuridae,Taphozous nudiventris,15.91,75.67,"Badami, Karnataka, India","Bates & Harrison, 1997"
Emballonuridae,Taphozous nudiventris,23.55,74.45,"Banswara, Rajasthan, India","Bates & Harrison, 1997"
Emballonuridae,Taphozous nudiventris,22.3,73.2,"Baroda, Gujarat, India","Bates & Harrison, 1997"
Emballonuridae,Taphozous nudiventris,23.26,69.66,"Bhuj, Gujarat, India","Wroughton, 1912bii"
Emballonuridae,Taphozous nudiventris,22.41,72.85,"Bochasan, Gujarat, India","Brosset, 1962a"
Emballonuridae,Taphozous nudiventris,24.7,84.98,"Bodh Gaya, Bihar, India","Bates & Harrison, 1997"
Emballonuridae,Taphozous nudiventris,21.7,72.96,"Broach, Gujarat, India","Sinha, 1981a"
Emballonuridae,Taphozous nudiventris,25.5,75.83,"Bundi, Rajasthan, India","Sinha, 1980"
